Episode,TimeStamp,Reward,RunningAverage
93,1000,-720.0,-1047.21
117,2000,1040.0,-869.77
126,3000,2412.0,-633.68
136,4000,-375.0,-320.53
145,5000,-37.0,-23.75
154,6000,3276.0,289.05
170,7000,-382.0,272.33
202,8000,1038.0,110.42
212,9000,122.0,183.58
221,10000,4040.0,294.34
231,11000,-13.0,380.97
240,12000,-389.0,484.45
249,13000,1238.0,590.86
258,14000,4447.0,717.92
268,15000,-18.0,806.59
290,16000,-363.0,743.49
333,17000,-365.0,514.46
346,18000,-3.0,531.51
355,19000,-25.0,600.38
373,20000,-7.0,573.8
396,21000,-1083.0,500.15
429,22000,-1088.0,377.79
445,23000,-6.0,367.11
454,24000,-375.0,400.51
463,25000,732.0,446.55
472,26000,4803.0,514.66
482,27000,-17.0,599.89
491,28000,-37.0,663.02
500,29000,2524.0,719.51
509,30000,4296.0,776.95
519,31000,-20.0,851.41
528,32000,-47.0,928.68
537,33000,4049.0,990.87
546,34000,3781.0,1028.0
556,35000,-19.0,1055.05
565,36000,-403.0,1099.91
574,37000,3183.0,1146.62
587,38000,284.0,1114.05
597,39000,-1.0,1115.88
606,40000,-11.0,1122.74
617,41000,-8.0,1126.81
652,42000,-724.0,1014.36
664,43000,893.0,1004.06
673,44000,3281.0,1025.26
683,45000,-16.0,1048.3
692,46000,-34.0,1081.94
701,47000,3279.0,1126.64
710,48000,5320.0,1163.32
720,49000,-20.0,1203.91
729,50000,-40.0,1247.28
738,51000,4052.0,1286.24
748,52000,-1.0,1327.79
757,53000,-20.0,1368.36
766,54000,-39.0,1407.11
775,55000,3800.0,1443.39
785,56000,-3.0,1472.33
794,57000,-26.0,1507.58
803,58000,-48.0,1530.02
813,59000,-27.0,1541.68
822,60000,2267.0,1562.96
837,61000,-363.0,1538.15
846,62000,-19.0,1555.88
856,63000,-7.0,1574.38
866,64000,-370.0,1592.01
877,65000,-14.0,1590.69
893,66000,-5.0,1558.01
903,67000,-395.0,1558.38
912,68000,3694.0,1578.02
922,69000,-3.0,1592.06
931,70000,-1094.0,1612.65
941,71000,3675.0,1630.94
951,72000,2525.0,1637.21
961,73000,-37.0,1640.87
970,74000,3088.0,1654.29
980,75000,-6.0,1671.07
993,76000,-5.0,1662.95
