episode,final_balance,cum_reward
1,991.00,-9.00
2,1004.00,4.00
3,991.00,-9.00
4,994.00,-6.00
5,1003.00,3.00
6,1000.00,0.00
7,1016.00,16.00
8,998.00,-2.00
9,994.00,-6.00
10,992.00,-8.00
11,999.00,-1.00
12,1003.00,3.00
13,995.00,-5.00
14,1002.00,2.00
15,997.00,-3.00
16,1014.00,14.00
17,996.00,-4.00
18,1005.00,5.00
19,1002.00,2.00
20,997.00,-3.00
21,999.00,-1.00
22,992.00,-8.00
23,998.00,-2.00
24,993.00,-7.00
25,996.00,-4.00
26,997.00,-3.00
27,999.00,-1.00
28,996.00,-4.00
29,1000.00,0.00
30,1002.00,2.00
31,1007.00,7.00
32,998.00,-2.00
33,985.00,-15.00
34,996.00,-4.00
35,1005.00,5.00
36,1004.00,4.00
37,1004.00,4.00
38,1008.00,8.00
39,995.00,-5.00
40,993.00,-7.00
41,998.00,-2.00
42,999.00,-1.00
43,995.00,-5.00
44,1006.00,6.00
45,1002.00,2.00
46,981.00,-19.00
47,1003.00,3.00
48,983.00,-17.00
49,1006.00,6.00
50,1006.00,6.00
51,998.00,-2.00
52,1001.00,1.00
53,1007.00,7.00
54,1006.00,6.00
55,999.00,-1.00
56,999.00,-1.00
57,1002.00,2.00
58,1013.00,13.00
59,1010.00,10.00
60,992.00,-8.00
61,998.00,-2.00
62,994.00,-6.00
63,996.00,-4.00
64,997.00,-3.00
65,1010.00,10.00
66,1003.00,3.00
67,1002.00,2.00
68,1009.00,9.00
69,990.00,-10.00
70,999.00,-1.00
71,1005.00,5.00
72,1009.00,9.00
73,1008.00,8.00
74,1000.00,0.00
75,1002.00,2.00
76,992.00,-8.00
77,1000.00,0.00
78,1009.00,9.00
79,1005.00,5.00
80,999.00,-1.00
81,1007.00,7.00
82,997.00,-3.00
83,993.00,-7.00
84,999.00,-1.00
85,999.00,-1.00
86,1010.00,10.00
87,1005.00,5.00
88,1011.00,11.00
89,999.00,-1.00
90,989.00,-11.00
91,1003.00,3.00
92,992.00,-8.00
93,1013.00,13.00
94,992.00,-8.00
95,998.00,-2.00
96,1004.00,4.00
97,1003.00,3.00
98,997.00,-3.00
99,1001.00,1.00
100,1014.00,14.00
101,1009.00,9.00
102,1005.00,5.00
103,1000.00,0.00
104,1000.00,0.00
105,1012.00,12.00
106,992.00,-8.00
107,1002.00,2.00
108,1007.00,7.00
109,1007.00,7.00
110,992.00,-8.00
111,1013.00,13.00
112,998.00,-2.00
113,1012.00,12.00
114,1004.00,4.00
115,1004.00,4.00
116,984.00,-16.00
117,1005.00,5.00
118,1007.00,7.00
119,993.00,-7.00
120,1007.00,7.00
121,1005.00,5.00
122,994.00,-6.00
123,1010.00,10.00
124,993.00,-7.00
125,997.00,-3.00
126,1005.00,5.00
127,1004.00,4.00
128,1007.00,7.00
129,1002.00,2.00
130,1008.00,8.00
131,995.00,-5.00
132,986.00,-14.00
133,996.00,-4.00
134,1011.00,11.00
135,1011.00,11.00
136,993.00,-7.00
137,1006.00,6.00
138,1000.00,0.00
139,1006.00,6.00
140,1001.00,1.00
141,999.00,-1.00
142,1000.00,0.00
143,1001.00,1.00
144,993.00,-7.00
145,996.00,-4.00
146,995.00,-5.00
147,1005.00,5.00
148,993.00,-7.00
149,1008.00,8.00
150,1006.00,6.00
151,1002.00,2.00
152,1009.00,9.00
153,1004.00,4.00
154,1001.00,1.00
155,1003.00,3.00
156,1009.00,9.00
157,1003.00,3.00
158,1000.00,0.00
159,1019.00,19.00
160,1001.00,1.00
161,1000.00,0.00
162,1003.00,3.00
163,1009.00,9.00
164,1008.00,8.00
165,1001.00,1.00
166,1009.00,9.00
167,1015.00,15.00
168,1019.00,19.00
169,995.00,-5.00
170,1003.00,3.00
171,998.00,-2.00
172,1008.00,8.00
173,991.00,-9.00
174,1006.00,6.00
175,1005.00,5.00
176,1012.00,12.00
177,1006.00,6.00
178,999.00,-1.00
179,1010.00,10.00
180,1004.00,4.00
181,1012.00,12.00
182,1008.00,8.00
183,1007.00,7.00
184,997.00,-3.00
185,1011.00,11.00
186,1000.00,0.00
187,1001.00,1.00
188,1004.00,4.00
189,1016.00,16.00
190,990.00,-10.00
191,993.00,-7.00
192,1013.00,13.00
193,1011.00,11.00
194,1008.00,8.00
195,1006.00,6.00
196,1012.00,12.00
197,1001.00,1.00
198,1009.00,9.00
199,997.00,-3.00
200,1001.00,1.00
201,1000.00,0.00
202,1008.00,8.00
203,997.00,-3.00
204,1003.00,3.00
205,1012.00,12.00
206,997.00,-3.00
207,1006.00,6.00
208,997.00,-3.00
209,1010.00,10.00
210,1024.00,24.00
211,992.00,-8.00
212,1009.00,9.00
213,1007.00,7.00
214,1000.00,0.00
215,1019.00,19.00
216,1004.00,4.00
217,1010.00,10.00
218,1004.00,4.00
219,996.00,-4.00
220,1002.00,2.00
221,1020.00,20.00
222,1000.00,0.00
223,1016.00,16.00
224,1016.00,16.00
225,1000.00,0.00
226,1010.00,10.00
227,1011.00,11.00
228,1004.00,4.00
229,1012.00,12.00
230,998.00,-2.00
231,1006.00,6.00
232,999.00,-1.00
233,996.00,-4.00
234,999.00,-1.00
235,1017.00,17.00
236,1015.00,15.00
237,994.00,-6.00
238,1006.00,6.00
239,1006.00,6.00
240,1010.00,10.00
241,1010.00,10.00
242,1007.00,7.00
243,1008.00,8.00
244,1010.00,10.00
245,1006.00,6.00
246,1013.00,13.00
247,1000.00,0.00
248,1018.00,18.00
249,1014.00,14.00
250,1005.00,5.00
251,1024.00,24.00
252,1016.00,16.00
253,991.00,-9.00
254,996.00,-4.00
255,1017.00,17.00
256,1003.00,3.00
257,1013.00,13.00
258,1006.00,6.00
259,1011.00,11.00
260,1021.00,21.00
261,1019.00,19.00
262,976.00,-24.00
263,997.00,-3.00
264,985.00,-15.00
265,995.00,-5.00
266,1012.00,12.00
267,1014.00,14.00
268,1019.00,19.00
269,1000.00,0.00
270,1003.00,3.00
271,1015.00,15.00
272,1004.00,4.00
273,1017.00,17.00
274,989.00,-11.00
275,999.00,-1.00
276,1007.00,7.00
277,1018.00,18.00
278,991.00,-9.00
279,998.00,-2.00
280,1014.00,14.00
281,1013.00,13.00
282,1020.00,20.00
283,1009.00,9.00
284,998.00,-2.00
285,1023.00,23.00
286,1006.00,6.00
287,999.00,-1.00
288,994.00,-6.00
289,1025.00,25.00
290,1009.00,9.00
291,1013.00,13.00
292,1015.00,15.00
293,977.00,-23.00
294,1021.00,21.00
295,1000.00,0.00
296,981.00,-19.00
297,1001.00,1.00
298,1019.00,19.00
299,989.00,-11.00
300,1007.00,7.00
301,1022.00,22.00
302,975.00,-25.00
303,995.00,-5.00
304,1000.00,0.00
305,1003.00,3.00
306,1008.00,8.00
307,1002.00,2.00
308,1017.00,17.00
309,1014.00,14.00
310,1005.00,5.00
311,1009.00,9.00
312,1021.00,21.00
313,1008.00,8.00
314,1021.00,21.00
315,1000.00,0.00
316,1003.00,3.00
317,1019.00,19.00
318,999.00,-1.00
319,1011.00,11.00
320,992.00,-8.00
321,1004.00,4.00
322,998.00,-2.00
323,991.00,-9.00
324,1009.00,9.00
325,1002.00,2.00
326,1015.00,15.00
327,1029.00,29.00
328,1018.00,18.00
329,1010.00,10.00
330,1003.00,3.00
331,1003.00,3.00
332,1007.00,7.00
333,1020.00,20.00
334,1027.00,27.00
335,1001.00,1.00
336,1005.00,5.00
337,1019.00,19.00
338,1009.00,9.00
339,1013.00,13.00
340,994.00,-6.00
341,1007.00,7.00
342,978.00,-22.00
