episode,reward,balance
1,-1006.00,-6.00
2,-1004.00,-4.00
3,-1002.00,-2.00
4,-1003.00,-3.00
5,-1005.00,-5.00
6,-1005.00,-5.00
7,-1004.00,-4.00
8,-1004.00,-4.00
9,-1003.00,-3.00
10,-1005.00,-5.00
11,-1004.00,-4.00
12,-1003.00,-3.00
13,-1006.00,-6.00
14,-1003.00,-3.00
15,-1004.00,-4.00
16,-1003.00,-3.00
17,-1006.00,-6.00
18,-1003.00,-3.00
19,-1002.00,-2.00
20,-1002.00,-2.00
21,-1004.00,-4.00
22,-1006.00,-6.00
23,-1004.00,-4.00
24,-1005.00,-5.00
25,-1006.00,-6.00
26,-1002.00,-2.00
27,-1005.00,-5.00
28,-1004.00,-4.00
29,-1003.00,-3.00
30,-1004.00,-4.00
31,-1003.00,-3.00
32,-1008.00,-8.00
33,-1006.00,-6.00
34,-1004.00,-4.00
35,-1002.00,-2.00
36,-1002.00,-2.00
37,-1007.00,-7.00
38,-1005.00,-5.00
39,-1006.00,-6.00
40,-1002.00,-2.00
41,-1004.00,-4.00
42,-1006.00,-6.00
43,-1003.00,-3.00
44,-1004.00,-4.00
45,-204.00,796.00
46,-1004.00,-4.00
47,-1002.00,-2.00
48,-1002.00,-2.00
49,-1002.00,-2.00
50,-1003.00,-3.00
51,-1003.00,-3.00
52,-1002.00,-2.00
53,-1003.00,-3.00
54,-1003.00,-3.00
55,-1004.00,-4.00
56,-1002.00,-2.00
57,-1003.00,-3.00
58,-1004.00,-4.00
59,-1008.00,-8.00
60,-1005.00,-5.00
61,-1002.00,-2.00
62,-1008.00,-8.00
63,-1002.00,-2.00
64,-1003.00,-3.00
65,-1005.00,-5.00
66,-1006.00,-6.00
67,-1002.00,-2.00
68,-1003.00,-3.00
69,-1004.00,-4.00
70,-1004.00,-4.00
71,-1002.00,-2.00
72,-1009.00,-9.00
73,-1002.00,-2.00
74,-1002.00,-2.00
75,-1002.00,-2.00
76,-1005.00,-5.00
77,-1002.00,-2.00
78,-1002.00,-2.00
79,-1002.00,-2.00
80,-1004.00,-4.00
81,-1002.00,-2.00
82,-1002.00,-2.00
83,-1005.00,-5.00
84,-1002.00,-2.00
85,-1006.00,-6.00
86,-1004.00,-4.00
87,-1002.00,-2.00
88,-1004.00,-4.00
89,-1005.00,-5.00
90,-1004.00,-4.00
91,-1007.00,-7.00
92,-1004.00,-4.00
93,-1003.00,-3.00
average,-995.24,4.76
