episode,return_mean,return_std,policy_loss,value_loss,entropy
50,0.00,1.00,0.0008,0.0060,0.0135
100,0.00,1.00,-0.0005,0.0060,0.0133
150,0.00,1.00,0.0000,0.0059,0.0131
200,0.00,1.00,-0.0004,0.0058,0.0128
250,-0.00,1.00,0.0001,0.0054,0.0120
300,0.00,1.00,0.0004,0.0055,0.0118
350,-0.00,1.00,-0.0001,0.0057,0.0115
400,0.00,1.00,-0.0009,0.0053,0.0111
450,0.00,1.00,0.0002,0.0060,0.0109
500,0.00,1.00,-0.0001,0.0058,0.0110
550,0.00,1.00,0.0003,0.0058,0.0103
600,0.00,1.00,-0.0008,0.0057,0.0100
650,0.00,1.00,-0.0000,0.0059,0.0101
700,0.00,1.00,0.0005,0.0052,0.0096
750,0.00,1.00,-0.0007,0.0049,0.0096
800,0.00,1.00,-0.0006,0.0056,0.0094
850,0.00,1.00,0.0003,0.0055,0.0087
900,0.00,1.00,-0.0002,0.0051,0.0089
950,-0.00,1.00,0.0003,0.0058,0.0083
1000,0.00,1.00,-0.0001,0.0054,0.0078
1050,-0.00,1.00,-0.0002,0.0056,0.0080
1100,-0.00,1.00,-0.0000,0.0056,0.0082
1150,-0.00,1.00,-0.0001,0.0052,0.0077
1200,0.00,1.00,0.0000,0.0056,0.0078
1250,-0.00,1.00,0.0001,0.0053,0.0067
1300,0.00,1.00,-0.0004,0.0056,0.0068
1350,0.00,1.00,0.0002,0.0051,0.0070
1400,-0.00,1.00,-0.0014,0.0056,0.0071
1450,-0.00,1.00,0.0001,0.0054,0.0071
1500,0.00,1.00,0.0005,0.0052,0.0071
1550,-0.00,1.00,-0.0001,0.0052,0.0068
1600,-0.00,1.00,0.0002,0.0049,0.0063
1650,-0.00,1.00,-0.0014,0.0054,0.0070
1700,-0.00,1.00,0.0001,0.0052,0.0062
1750,-0.00,1.00,-0.0004,0.0053,0.0064
1800,0.00,1.00,-0.0003,0.0050,0.0061
1850,0.00,1.00,-0.0005,0.0052,0.0064
1900,-0.00,1.00,0.0004,0.0056,0.0057
1950,-0.00,1.00,-0.0004,0.0047,0.0061
2000,0.00,1.00,-0.0008,0.0055,0.0060
2050,-0.00,1.00,-0.0001,0.0053,0.0060
2100,0.00,1.00,-0.0014,0.0054,0.0058
2150,0.00,1.00,-0.0007,0.0049,0.0058
2200,-0.00,1.00,0.0012,0.0053,0.0058
2250,-0.00,1.00,0.0001,0.0050,0.0062
2300,-0.00,1.00,-0.0004,0.0053,0.0058
2350,0.00,1.00,-0.0011,0.0051,0.0056
2400,-0.00,1.00,-0.0004,0.0052,0.0058
2450,0.00,1.00,-0.0008,0.0054,0.0055
2500,0.00,1.00,0.0001,0.0050,0.0054
2550,0.00,1.00,-0.0010,0.0049,0.0056
2600,-0.00,1.00,-0.0010,0.0049,0.0052
2650,0.00,1.00,-0.0005,0.0056,0.0056
2700,-0.00,1.00,0.0000,0.0051,0.0055
2750,-0.00,1.00,-0.0002,0.0052,0.0057
2800,-0.00,1.00,0.0009,0.0049,0.0055
2850,0.00,1.00,-0.0003,0.0049,0.0050
2900,0.00,1.00,0.0011,0.0051,0.0052
2950,0.00,1.00,0.0000,0.0050,0.0053
3000,0.00,1.00,-0.0001,0.0051,0.0052
3050,0.00,1.00,0.0000,0.0050,0.0052
3100,-0.00,1.00,-0.0002,0.0054,0.0051
3150,0.00,1.00,-0.0003,0.0048,0.0049
3200,0.00,1.00,0.0007,0.0054,0.0049
3250,0.00,1.00,-0.0004,0.0055,0.0048
3300,0.00,1.00,-0.0002,0.0051,0.0048
3350,0.00,1.00,-0.0001,0.0052,0.0044
3400,-0.00,1.00,-0.0006,0.0054,0.0042
3450,-0.00,1.00,0.0003,0.0048,0.0046
3500,0.00,1.00,0.0003,0.0050,0.0042
3550,-0.00,1.00,0.0001,0.0047,0.0045
3600,0.00,1.00,-0.0003,0.0053,0.0039
3650,0.00,1.00,-0.0003,0.0049,0.0041
3700,0.00,1.00,-0.0006,0.0049,0.0043
3750,-0.00,1.00,-0.0002,0.0056,0.0044
3800,0.00,1.00,-0.0000,0.0052,0.0042
3850,0.00,1.00,0.0012,0.0057,0.0038
3900,0.00,1.00,-0.0006,0.0047,0.0037
3950,-0.00,1.00,-0.0013,0.0047,0.0043
4000,-0.00,1.00,-0.0004,0.0055,0.0040
4050,0.00,1.00,-0.0005,0.0052,0.0037
4100,0.00,1.00,-0.0011,0.0051,0.0038
4150,0.00,1.00,0.0002,0.0054,0.0041
4200,0.00,1.00,-0.0009,0.0051,0.0041
4250,0.00,1.00,-0.0011,0.0051,0.0042
4300,0.00,1.00,-0.0016,0.0050,0.0041
4350,0.00,1.00,0.0014,0.0048,0.0043
4400,0.00,1.00,-0.0014,0.0049,0.0044
4450,0.00,1.00,-0.0015,0.0051,0.0037
4500,-0.00,1.00,0.0005,0.0051,0.0040
4550,-0.00,1.00,-0.0019,0.0052,0.0038
4600,-0.00,1.00,0.0000,0.0054,0.0036
4650,-0.00,1.00,0.0001,0.0050,0.0039
4700,-0.00,1.00,-0.0003,0.0055,0.0038
4750,0.00,1.00,-0.0006,0.0047,0.0039
4800,-0.00,1.00,-0.0003,0.0053,0.0039
4850,0.00,1.00,0.0002,0.0051,0.0039
4900,-0.00,1.00,0.0001,0.0053,0.0037
4950,-0.00,1.00,0.0002,0.0047,0.0037
5000,-0.00,1.00,-0.0005,0.0049,0.0035
5050,-0.00,1.00,-0.0003,0.0049,0.0037
5100,-0.00,1.00,0.0006,0.0051,0.0039
5150,0.00,1.00,-0.0001,0.0054,0.0038
5200,0.00,1.00,-0.0001,0.0046,0.0040
5250,0.00,1.00,0.0002,0.0051,0.0034
5300,-0.00,1.00,0.0004,0.0050,0.0037
5350,0.00,1.00,-0.0010,0.0045,0.0038
5400,0.00,1.00,0.0011,0.0050,0.0040
5450,-0.00,1.00,0.0004,0.0048,0.0039
5500,0.00,1.00,-0.0001,0.0052,0.0038
5550,0.00,1.00,-0.0007,0.0051,0.0033
5600,0.00,1.00,0.0000,0.0048,0.0039
5650,0.00,1.00,0.0002,0.0052,0.0040
5700,0.00,1.00,0.0005,0.0051,0.0041
5750,0.00,1.00,0.0011,0.0048,0.0042
5800,0.00,1.00,-0.0019,0.0053,0.0041
5850,-0.00,1.00,-0.0004,0.0047,0.0039
5900,0.00,1.00,-0.0002,0.0043,0.0039
5950,-0.00,1.00,-0.0013,0.0049,0.0038
6000,0.00,1.00,-0.0018,0.0052,0.0039
6050,0.00,1.00,-0.0002,0.0051,0.0046
6100,0.00,1.00,0.0009,0.0049,0.0041
6150,0.00,1.00,0.0012,0.0041,0.0043
6200,-0.00,1.00,-0.0006,0.0054,0.0045
6250,0.00,1.00,0.0002,0.0053,0.0045
6300,-0.00,1.00,-0.0003,0.0046,0.0043
6350,-0.00,1.00,-0.0004,0.0053,0.0042
6400,0.00,1.00,0.0007,0.0050,0.0045
6450,-0.00,1.00,0.0002,0.0048,0.0047
6500,-0.00,1.00,-0.0009,0.0056,0.0046
6550,-0.00,1.00,0.0000,0.0042,0.0046
6600,0.00,1.00,-0.0012,0.0051,0.0045
6650,0.00,1.00,-0.0004,0.0038,0.0045
6700,0.00,1.00,0.0020,0.0050,0.0046
6750,0.00,1.00,-0.0004,0.0048,0.0048
6800,0.00,1.00,0.0001,0.0052,0.0041
6850,0.00,1.00,-0.0009,0.0048,0.0040
6900,0.00,1.00,-0.0006,0.0043,0.0043
6950,-0.00,1.00,-0.0010,0.0057,0.0040
7000,-0.00,1.00,0.0001,0.0044,0.0045
