episode,final_balance,cum_reward
1,999.00,-1.00
2,1011.00,11.00
3,994.00,-6.00
4,995.00,-5.00
5,1010.00,10.00
6,1001.00,1.00
7,1003.00,3.00
8,1011.00,11.00
9,994.00,-6.00
10,994.00,-6.00
11,1010.00,10.00
12,1002.00,2.00
13,992.00,-8.00
14,998.00,-2.00
15,1005.00,5.00
16,986.00,-14.00
17,998.00,-2.00
18,1006.00,6.00
19,1005.00,5.00
20,1002.00,2.00
21,1003.00,3.00
22,1023.00,23.00
23,1002.00,2.00
24,998.00,-2.00
25,1009.00,9.00
26,993.00,-7.00
27,1001.00,1.00
28,996.00,-4.00
29,991.00,-9.00
30,1003.00,3.00
31,1003.00,3.00
32,996.00,-4.00
33,997.00,-3.00
34,995.00,-5.00
35,1011.00,11.00
36,996.00,-4.00
37,999.00,-1.00
38,998.00,-2.00
39,1009.00,9.00
40,1003.00,3.00
41,985.00,-15.00
42,996.00,-4.00
43,992.00,-8.00
44,998.00,-2.00
45,1007.00,7.00
46,996.00,-4.00
47,1005.00,5.00
48,1018.00,18.00
49,1002.00,2.00
50,997.00,-3.00
51,993.00,-7.00
52,986.00,-14.00
53,1000.00,0.00
54,997.00,-3.00
55,1013.00,13.00
56,995.00,-5.00
57,1002.00,2.00
58,996.00,-4.00
59,994.00,-6.00
60,1010.00,10.00
61,997.00,-3.00
62,975.00,-25.00
63,1005.00,5.00
64,995.00,-5.00
65,998.00,-2.00
66,997.00,-3.00
67,1004.00,4.00
68,998.00,-2.00
69,1002.00,2.00
70,992.00,-8.00
71,997.00,-3.00
72,1008.00,8.00
73,1004.00,4.00
74,1008.00,8.00
75,978.00,-22.00
76,992.00,-8.00
77,1012.00,12.00
78,1004.00,4.00
79,1005.00,5.00
80,997.00,-3.00
81,989.00,-11.00
82,1000.00,0.00
83,995.00,-5.00
84,1011.00,11.00
85,984.00,-16.00
86,996.00,-4.00
87,995.00,-5.00
88,1005.00,5.00
89,993.00,-7.00
90,996.00,-4.00
91,1011.00,11.00
92,1004.00,4.00
93,1002.00,2.00
94,1000.00,0.00
95,1001.00,1.00
96,1003.00,3.00
97,997.00,-3.00
98,997.00,-3.00
99,1006.00,6.00
100,994.00,-6.00
101,1007.00,7.00
102,1004.00,4.00
103,1009.00,9.00
104,1005.00,5.00
105,995.00,-5.00
106,990.00,-10.00
107,1006.00,6.00
108,1008.00,8.00
109,1003.00,3.00
110,993.00,-7.00
111,998.00,-2.00
112,1001.00,1.00
113,994.00,-6.00
114,1009.00,9.00
115,1004.00,4.00
116,1001.00,1.00
117,994.00,-6.00
118,1011.00,11.00
119,991.00,-9.00
120,999.00,-1.00
121,997.00,-3.00
122,991.00,-9.00
123,997.00,-3.00
124,1017.00,17.00
125,1003.00,3.00
126,988.00,-12.00
127,1003.00,3.00
128,995.00,-5.00
129,1012.00,12.00
130,1011.00,11.00
131,1008.00,8.00
132,993.00,-7.00
133,1001.00,1.00
134,1010.00,10.00
135,999.00,-1.00
136,1006.00,6.00
137,997.00,-3.00
138,1005.00,5.00
139,989.00,-11.00
140,1004.00,4.00
141,1008.00,8.00
142,998.00,-2.00
143,1007.00,7.00
144,1004.00,4.00
145,1004.00,4.00
146,1014.00,14.00
147,1004.00,4.00
148,1003.00,3.00
149,1007.00,7.00
150,1014.00,14.00
151,1009.00,9.00
152,1004.00,4.00
153,1000.00,0.00
154,990.00,-10.00
155,1003.00,3.00
156,1010.00,10.00
157,1003.00,3.00
158,997.00,-3.00
159,1011.00,11.00
160,1015.00,15.00
161,1002.00,2.00
162,1005.00,5.00
163,1001.00,1.00
164,1008.00,8.00
165,1010.00,10.00
166,1011.00,11.00
167,990.00,-10.00
168,991.00,-9.00
169,995.00,-5.00
170,1012.00,12.00
171,1010.00,10.00
172,999.00,-1.00
173,997.00,-3.00
174,1001.00,1.00
175,996.00,-4.00
176,1011.00,11.00
177,1005.00,5.00
178,1000.00,0.00
179,1002.00,2.00
180,989.00,-11.00
181,995.00,-5.00
182,997.00,-3.00
183,1002.00,2.00
184,996.00,-4.00
185,1002.00,2.00
