episode,return_mean,return_std,policy_loss,value_loss,entropy
50,0.00,1.00,-0.0003,0.0059,0.0135
100,0.00,1.00,-0.0004,0.0059,0.0134
150,-0.00,1.00,-0.0001,0.0058,0.0132
200,0.00,1.00,-0.0001,0.0054,0.0130
250,0.00,1.00,-0.0005,0.0059,0.0127
300,-0.00,1.00,-0.0007,0.0055,0.0125
350,-0.00,1.00,-0.0008,0.0060,0.0121
400,0.00,1.00,-0.0001,0.0056,0.0115
450,0.00,1.00,-0.0002,0.0059,0.0114
500,0.00,1.00,-0.0000,0.0056,0.0108
550,-0.00,1.00,-0.0001,0.0052,0.0100
600,-0.00,1.00,-0.0002,0.0053,0.0101
650,0.00,1.00,-0.0002,0.0054,0.0098
700,-0.00,1.00,0.0002,0.0056,0.0096
750,0.00,1.00,-0.0005,0.0055,0.0089
800,0.00,1.00,0.0000,0.0058,0.0089
850,-0.00,1.00,-0.0002,0.0057,0.0087
900,0.00,1.00,0.0001,0.0054,0.0083
950,0.00,1.00,-0.0001,0.0056,0.0079
1000,0.00,1.00,0.0000,0.0056,0.0074
1050,0.00,1.00,-0.0003,0.0054,0.0076
1100,-0.00,1.00,-0.0001,0.0058,0.0074
1150,-0.00,1.00,-0.0004,0.0058,0.0077
1200,0.00,1.00,0.0001,0.0053,0.0076
1250,0.00,1.00,0.0000,0.0053,0.0075
1300,0.00,1.00,0.0001,0.0053,0.0072
1350,-0.00,1.00,-0.0005,0.0053,0.0067
1400,-0.00,1.00,0.0002,0.0055,0.0070
1450,0.00,1.00,0.0001,0.0053,0.0069
1500,-0.00,1.00,0.0002,0.0053,0.0065
1550,0.00,1.00,-0.0011,0.0056,0.0067
1600,-0.00,1.00,0.0000,0.0052,0.0063
1650,-0.00,1.00,-0.0002,0.0057,0.0062
1700,-0.00,1.00,-0.0002,0.0053,0.0055
1750,-0.00,1.00,-0.0013,0.0058,0.0058
1800,0.00,1.00,0.0007,0.0058,0.0050
1850,0.00,1.00,-0.0004,0.0057,0.0056
1900,0.00,1.00,-0.0001,0.0054,0.0054
1950,0.00,1.00,0.0001,0.0052,0.0048
2000,-0.00,1.00,-0.0005,0.0055,0.0054
2050,-0.00,1.00,-0.0005,0.0057,0.0051
2100,-0.00,1.00,0.0003,0.0053,0.0047
2150,-0.00,1.00,-0.0006,0.0059,0.0044
2200,-0.00,1.00,-0.0001,0.0053,0.0041
2250,0.00,1.00,-0.0003,0.0055,0.0041
2300,-0.00,1.00,0.0001,0.0059,0.0044
2350,-0.00,1.00,-0.0000,0.0057,0.0044
2400,-0.00,1.00,0.0000,0.0051,0.0042
2450,-0.00,1.00,-0.0004,0.0053,0.0041
2500,0.00,1.00,0.0003,0.0057,0.0043
2550,-0.00,1.00,-0.0001,0.0054,0.0040
2600,0.00,1.00,-0.0004,0.0055,0.0043
2650,0.00,1.00,0.0002,0.0056,0.0045
2700,-0.00,1.00,-0.0002,0.0055,0.0042
2750,0.00,1.00,0.0000,0.0054,0.0040
2800,0.00,1.00,-0.0011,0.0054,0.0040
2850,-0.00,1.00,-0.0002,0.0054,0.0043
2900,0.00,1.00,0.0005,0.0055,0.0041
2950,0.00,1.00,0.0001,0.0049,0.0039
3000,-0.00,1.00,-0.0011,0.0053,0.0044
3050,0.00,1.00,0.0002,0.0050,0.0045
3100,-0.00,1.00,-0.0001,0.0053,0.0047
3150,0.00,1.00,-0.0005,0.0053,0.0044
3200,-0.00,1.00,-0.0008,0.0056,0.0050
3250,-0.00,1.00,0.0004,0.0055,0.0045
3300,-0.00,1.00,-0.0001,0.0054,0.0043
3350,-0.00,1.00,-0.0005,0.0054,0.0046
3400,0.00,1.00,-0.0004,0.0054,0.0046
3450,0.00,1.00,-0.0009,0.0053,0.0047
3500,0.00,1.00,-0.0008,0.0050,0.0044
3550,0.00,1.00,-0.0002,0.0050,0.0043
3600,-0.00,1.00,0.0006,0.0052,0.0041
3650,-0.00,1.00,0.0003,0.0052,0.0039
3700,0.00,1.00,-0.0013,0.0055,0.0047
3750,0.00,1.00,0.0001,0.0050,0.0045
3800,-0.00,1.00,-0.0006,0.0053,0.0042
3850,-0.00,1.00,0.0000,0.0051,0.0045
3900,0.00,1.00,-0.0005,0.0053,0.0043
3950,0.00,1.00,-0.0004,0.0055,0.0046
4000,-0.00,1.00,-0.0001,0.0054,0.0045
4050,0.00,1.00,0.0001,0.0055,0.0045
4100,-0.00,1.00,-0.0000,0.0053,0.0044
4150,0.00,1.00,0.0008,0.0050,0.0040
4200,-0.00,1.00,-0.0002,0.0052,0.0042
4250,0.00,1.00,-0.0005,0.0050,0.0038
4300,-0.00,1.00,0.0002,0.0051,0.0039
4350,-0.00,1.00,-0.0004,0.0051,0.0042
4400,0.00,1.00,0.0001,0.0056,0.0045
4450,0.00,1.00,0.0002,0.0047,0.0044
4500,0.00,1.00,-0.0007,0.0053,0.0041
4550,0.00,1.00,0.0002,0.0054,0.0043
4600,-0.00,1.00,0.0000,0.0052,0.0041
4650,0.00,1.00,0.0005,0.0052,0.0041
4700,-0.00,1.00,0.0006,0.0046,0.0044
4750,-0.00,1.00,-0.0013,0.0048,0.0047
4800,0.00,1.00,0.0003,0.0054,0.0042
4850,0.00,1.00,0.0002,0.0051,0.0043
4900,0.00,1.00,0.0002,0.0051,0.0039
4950,-0.00,1.00,-0.0012,0.0052,0.0043
5000,0.00,1.00,0.0002,0.0056,0.0039
5050,0.00,1.00,-0.0001,0.0048,0.0042
5100,0.00,1.00,0.0001,0.0051,0.0037
5150,0.00,1.00,-0.0007,0.0052,0.0041
5200,-0.00,1.00,-0.0002,0.0052,0.0039
5250,-0.00,1.00,0.0003,0.0050,0.0037
5300,-0.00,1.00,-0.0001,0.0054,0.0037
5350,0.00,1.00,0.0005,0.0055,0.0039
5400,0.00,1.00,0.0003,0.0052,0.0037
5450,0.00,1.00,0.0004,0.0049,0.0036
5500,-0.00,1.00,-0.0001,0.0048,0.0036
5550,-0.00,1.00,0.0005,0.0050,0.0034
5600,-0.00,1.00,-0.0009,0.0053,0.0032
5650,0.00,1.00,0.0001,0.0051,0.0036
5700,0.00,1.00,-0.0009,0.0054,0.0037
5750,0.00,1.00,0.0006,0.0049,0.0034
5800,-0.00,1.00,-0.0006,0.0047,0.0033
5850,0.00,1.00,-0.0017,0.0052,0.0032
5900,0.00,1.00,0.0011,0.0045,0.0034
5950,0.00,1.00,-0.0018,0.0051,0.0035
6000,-0.00,1.00,-0.0008,0.0049,0.0033
6050,-0.00,1.00,-0.0003,0.0049,0.0036
6100,0.00,1.00,0.0001,0.0047,0.0035
6150,-0.00,1.00,-0.0011,0.0055,0.0035
6200,0.00,1.00,0.0002,0.0052,0.0031
6250,0.00,1.00,0.0005,0.0049,0.0030
6300,-0.00,1.00,-0.0003,0.0051,0.0029
6350,-0.00,1.00,-0.0000,0.0047,0.0028
6400,-0.00,1.00,0.0003,0.0048,0.0032
6450,-0.00,1.00,-0.0002,0.0051,0.0034
6500,-0.00,1.00,0.0005,0.0051,0.0034
6550,0.00,1.00,-0.0003,0.0050,0.0032
6600,0.00,1.00,0.0005,0.0051,0.0032
6650,-0.00,1.00,-0.0001,0.0053,0.0032
6700,-0.00,1.00,-0.0007,0.0051,0.0033
6750,-0.00,1.00,-0.0003,0.0052,0.0032
6800,0.00,1.00,-0.0014,0.0048,0.0032
6850,0.00,1.00,0.0002,0.0053,0.0033
6900,-0.00,1.00,-0.0005,0.0047,0.0029
6950,0.00,1.00,-0.0018,0.0048,0.0034
7000,0.00,1.00,0.0009,0.0050,0.0030
