episode,final_balance,cum_reward
1,0.00,-1000.00
2,-842.26,-1842.26
3,0.00,-1000.00
4,-576.68,-1576.68
5,0.00,-1000.00
6,0.00,-1000.00
7,0.00,-1000.00
8,0.00,-1000.00
9,0.00,-1000.00
10,0.00,-1000.00
11,0.00,-1000.00
12,0.00,-1000.00
13,0.00,-1000.00
14,0.00,-1000.00
15,0.00,-1000.00
16,-782.17,-1782.17
17,0.00,-1000.00
18,-721.14,-1721.14
19,0.00,-1000.00
20,0.00,-1000.00
21,-977.59,-1977.59
22,0.00,-1000.00
23,0.00,-1000.00
24,0.00,-1000.00
25,0.00,-1000.00
26,0.00,-1000.00
27,0.00,-1000.00
28,-812.22,-1812.22
29,0.00,-1000.00
30,0.00,-1000.00
31,0.00,-1000.00
32,0.00,-1000.00
33,0.00,-1000.00
34,0.00,-1000.00
35,0.00,-1000.00
36,0.00,-1000.00
37,0.00,-1000.00
38,0.00,-1000.00
39,0.00,-1000.00
40,0.00,-1000.00
41,0.00,-1000.00
42,0.00,-1000.00
43,0.00,-1000.00
44,0.00,-1000.00
45,0.00,-1000.00
46,-263.81,-1263.81
47,-380.26,-1380.26
48,0.00,-1000.00
49,-795.91,-1795.91
50,0.00,-1000.00
51,0.00,-1000.00
52,0.00,-1000.00
53,0.00,-1000.00
54,0.00,-1000.00
55,0.00,-1000.00
56,0.00,-1000.00
57,0.00,-1000.00
58,0.00,-1000.00
59,0.00,-1000.00
60,0.00,-1000.00
61,5960.77,4960.77
62,0.00,-1000.00
63,0.00,-1000.00
64,0.00,-1000.00
65,0.00,-1000.00
66,0.00,-1000.00
67,0.00,-1000.00
68,0.00,-1000.00
69,-864.67,-1864.67
70,0.00,-1000.00
71,0.00,-1000.00
72,0.00,-1000.00
73,0.00,-1000.00
74,0.00,-1000.00
75,0.00,-1000.00
76,0.00,-1000.00
77,0.00,-1000.00
78,0.00,-1000.00
79,-986.94,-1986.94
80,0.00,-1000.00
81,0.00,-1000.00
82,0.00,-1000.00
83,0.00,-1000.00
84,0.00,-1000.00
85,-889.92,-1889.92
86,-742.50,-1742.50
87,0.00,-1000.00
88,0.00,-1000.00
89,0.00,-1000.00
90,0.00,-1000.00
91,0.00,-1000.00
92,0.00,-1000.00
93,0.00,-1000.00
94,0.00,-1000.00
95,0.00,-1000.00
96,0.00,-1000.00
97,0.00,-1000.00
98,0.00,-1000.00
99,0.00,-1000.00
100,0.00,-1000.00
101,0.00,-1000.00
102,-82.49,-1082.49
103,0.00,-1000.00
104,0.00,-1000.00
105,0.00,-1000.00
106,0.00,-1000.00
107,0.00,-1000.00
108,0.00,-1000.00
109,0.00,-1000.00
110,3162.95,2162.95
111,0.00,-1000.00
112,0.00,-1000.00
113,0.00,-1000.00
114,0.00,-1000.00
115,0.00,-1000.00
116,0.00,-1000.00
117,0.00,-1000.00
118,0.00,-1000.00
119,0.00,-1000.00
120,0.00,-1000.00
121,13369.60,12369.60
122,0.00,-1000.00
123,0.00,-1000.00
124,0.00,-1000.00
125,0.00,-1000.00
126,0.00,-1000.00
127,0.00,-1000.00
128,0.00,-1000.00
129,-714.34,-1714.34
130,0.00,-1000.00
131,0.00,-1000.00
132,0.00,-1000.00
133,0.00,-1000.00
134,0.00,-1000.00
135,0.00,-1000.00
136,0.00,-1000.00
137,0.00,-1000.00
138,0.00,-1000.00
139,-965.27,-1965.27
140,23000.00,22000.00
141,0.00,-1000.00
142,-178.79,-1178.79
143,17000.00,16000.00
144,0.00,-1000.00
145,9084.89,8084.89
146,-244.73,-1244.73
147,-981.72,-1981.72
148,0.00,-1000.00
149,0.00,-1000.00
150,-767.58,-1767.58
151,0.00,-1000.00
152,0.00,-1000.00
153,0.00,-1000.00
154,0.00,-1000.00
