episode,reward,balance
1,-1004.00,-4.00
2,-1005.00,-5.00
3,-1002.00,-2.00
4,-1005.00,-5.00
5,-1005.00,-5.00
6,-1002.00,-2.00
7,-1006.00,-6.00
8,-1003.00,-3.00
9,-1002.00,-2.00
10,-1003.00,-3.00
11,-1002.00,-2.00
12,-1010.00,-10.00
13,-1002.00,-2.00
14,-1004.00,-4.00
15,-1004.00,-4.00
16,-1002.00,-2.00
17,-1002.00,-2.00
18,-1002.00,-2.00
19,-1007.00,-7.00
20,-1002.00,-2.00
21,-1008.00,-8.00
22,-1003.00,-3.00
23,-1003.00,-3.00
24,-187.00,813.00
25,-1002.00,-2.00
26,-1005.00,-5.00
27,-1002.00,-2.00
28,-1003.00,-3.00
29,-819.00,181.00
30,-1003.00,-3.00
31,-1004.00,-4.00
32,-1003.00,-3.00
33,-1002.00,-2.00
34,-1004.00,-4.00
35,-1005.00,-5.00
36,-1005.00,-5.00
37,-1005.00,-5.00
38,-1002.00,-2.00
39,-1002.00,-2.00
40,-1003.00,-3.00
41,-1006.00,-6.00
42,-1002.00,-2.00
43,-1007.00,-7.00
44,-1002.00,-2.00
45,-1002.00,-2.00
46,-1004.00,-4.00
47,-1003.00,-3.00
48,-1002.00,-2.00
49,-1007.00,-7.00
50,-1002.00,-2.00
51,-1003.00,-3.00
52,-1002.00,-2.00
53,-1008.00,-8.00
54,-1002.00,-2.00
55,-1003.00,-3.00
56,-1006.00,-6.00
57,-1004.00,-4.00
58,-1002.00,-2.00
59,-1002.00,-2.00
60,-1006.00,-6.00
61,-1004.00,-4.00
62,-1002.00,-2.00
63,-1009.00,-9.00
64,-1002.00,-2.00
65,-1005.00,-5.00
66,-1004.00,-4.00
67,-1002.00,-2.00
68,-1002.00,-2.00
69,-1003.00,-3.00
70,-1003.00,-3.00
71,-1005.00,-5.00
72,-1006.00,-6.00
73,-1003.00,-3.00
74,-1003.00,-3.00
75,-1002.00,-2.00
76,-1003.00,-3.00
77,-1003.00,-3.00
78,-1003.00,-3.00
79,-1005.00,-5.00
80,-1006.00,-6.00
81,-1002.00,-2.00
82,-1004.00,-4.00
83,-1005.00,-5.00
84,-1002.00,-2.00
85,-1004.00,-4.00
86,-1002.00,-2.00
87,-1005.00,-5.00
88,-1002.00,-2.00
89,-1004.00,-4.00
90,-1005.00,-5.00
91,-1006.00,-6.00
92,-1003.00,-3.00
93,-1004.00,-4.00
average,-992.92,7.08
