time_step,episode,reward,cumulative_reward,balance,stake_a,stake_b,p_chosen,correct
1,1,-1000.00,-1000.00,0.00,1000.00,0.00,0.01,0
2,2,-842.26,-842.26,157.74,174.60,667.66,0.35,0
3,2,-1000.00,-1842.26,-842.26,82.21,35.19,0.40,0
4,3,-1000.00,-1000.00,0.00,243.48,756.52,0.10,0
5,4,-576.68,-576.68,423.32,0.00,576.68,0.16,0
6,4,-1000.00,-1576.68,-576.68,342.58,53.84,0.33,0
7,5,-1000.00,-1000.00,0.00,355.41,131.93,0.35,0
8,6,-1000.00,-1000.00,0.00,660.83,339.17,0.15,0
9,7,1000.00,1000.00,2000.00,81.77,543.17,0.33,1
10,7,-192.96,807.04,1807.04,192.96,0.00,0.22,0
11,7,1000.00,1807.04,2807.04,0.00,403.28,0.11,1
12,7,1000.00,2807.04,3807.04,1081.83,1725.22,0.33,1
13,7,1000.00,3807.04,4807.04,375.11,3431.93,0.23,1
14,7,1000.00,4807.04,5807.04,2159.52,2647.52,0.18,1
15,7,-1000.00,3807.04,4807.04,4213.99,1311.71,0.38,0
16,7,1000.00,4807.04,5807.04,0.00,1703.82,0.19,1
17,7,-1000.00,3807.04,4807.04,5807.04,0.00,0.03,0
18,7,-1000.00,2807.04,3807.04,2949.74,0.00,0.12,0
19,7,-1000.00,1807.04,2807.04,2082.71,709.52,0.38,0
20,7,-1000.00,807.04,1807.04,1513.26,1293.79,0.30,0
21,7,1000.00,1807.04,2807.04,903.52,903.52,0.19,1
22,7,-1000.00,807.04,1807.04,1571.31,1235.73,0.18,0
23,7,1000.00,1807.04,2807.04,903.52,903.52,0.03,1
24,7,-1000.00,807.04,1807.04,1750.96,1056.08,0.43,0
25,7,-1000.00,-192.96,807.04,1807.04,0.00,0.01,0
26,7,-807.04,-1000.00,0.00,445.76,361.29,0.30,0
27,8,-1000.00,-1000.00,0.00,407.68,241.20,0.39,0
28,9,1000.00,1000.00,2000.00,0.00,1000.00,0.17,1
29,9,1000.00,2000.00,3000.00,0.00,2000.00,0.02,1
30,9,-1000.00,1000.00,2000.00,2372.35,0.00,0.18,0
31,9,1000.00,2000.00,3000.00,1000.00,1000.00,0.20,1
32,9,-1000.00,1000.00,2000.00,1533.53,0.00,0.07,0
33,9,-1000.00,0.00,1000.00,1375.61,493.35,0.40,0
34,9,-1000.00,-1000.00,0.00,542.27,457.73,0.43,0
35,9,-0.00,-1000.00,0.00,0.00,0.00,0.00,0
36,10,0.00,0.00,1000.00,0.00,563.56,0.26,0
37,10,0.00,0.00,1000.00,0.00,719.45,0.20,0
38,10,0.00,0.00,1000.00,0.00,142.22,0.09,0
39,10,-807.29,-807.29,192.71,807.29,0.00,0.19,0
40,10,-112.17,-919.47,80.53,112.17,0.00,0.09,0
41,10,0.00,-919.47,80.53,26.23,54.30,0.20,0
42,10,0.00,-919.47,80.53,0.00,66.34,0.19,0
43,10,0.00,-919.47,80.53,0.00,39.47,0.19,0
44,10,0.00,-919.47,80.53,40.27,40.27,0.03,0
45,10,-64.99,-984.46,15.54,64.99,0.00,0.04,0
46,10,-7.71,-992.17,7.83,5.00,2.71,0.35,0
47,10,0.00,-992.17,7.83,1.78,4.72,0.38,0
48,10,-6.16,-998.33,1.67,3.34,2.82,0.42,0
49,10,0.00,-998.33,1.67,0.00,1.08,0.26,0
50,10,0.00,-998.33,1.67,0.56,1.11,0.19,0
51,10,0.00,-998.33,1.67,0.00,0.47,0.01,0
52,10,-1.67,-1000.00,0.00,1.15,0.52,0.09,0
53,11,-1000.00,-1000.00,0.00,336.04,663.96,0.06,0
54,12,1000.00,1000.00,2000.00,1000.00,0.00,0.05,1
55,12,-1000.00,0.00,1000.00,0.00,2000.00,0.03,0
56,12,-896.94,-896.94,103.06,279.71,617.24,0.39,0
57,12,-99.17,-996.12,3.88,15.21,83.96,0.30,0
58,12,-3.88,-1000.00,0.00,1.94,1.94,0.09,0
59,13,-1000.00,-1000.00,0.00,445.05,554.95,0.38,0
60,14,-1000.00,-1000.00,0.00,0.00,161.82,0.13,0
61,15,-1000.00,-1000.00,0.00,0.00,877.61,0.04,0
62,16,-732.14,-732.14,267.86,393.68,338.47,0.41,0
63,16,-50.03,-782.17,217.83,50.03,0.00,0.16,0
64,16,-1000.00,-1782.17,-782.17,98.24,119.58,0.08,0
65,17,1000.00,1000.00,2000.00,0.00,1000.00,0.12,1
66,17,1000.00,2000.00,3000.00,0.00,271.01,0.01,1
67,17,-1000.00,1000.00,2000.00,2980.27,19.73,0.21,0
68,17,-1000.00,0.00,1000.00,1426.62,573.38,0.34,0
69,17,-944.21,-944.21,55.79,822.34,121.87,0.33,0
70,17,-55.79,-1000.00,0.00,32.96,22.83,0.27,0
71,18,1000.00,1000.00,2000.00,431.45,568.55,0.41,1
72,18,-721.14,278.86,1278.86,721.14,0.00,0.26,0
73,18,1000.00,1278.86,2278.86,0.00,362.33,0.09,1
