episode,return_mean,return_std,policy_loss,value_loss,entropy
50,-0.00,1.00,-0.0003,0.0042,0.0227
100,0.00,1.00,-0.0030,0.0054,0.0227
150,-0.00,1.00,-0.0008,0.0054,0.0227
200,-0.00,1.00,0.0010,0.0048,0.0227
250,0.00,1.00,-0.0017,0.0040,0.0227
300,0.00,1.00,-0.0014,0.0057,0.0227
350,0.00,1.00,0.0014,0.0039,0.0227
400,0.00,1.00,0.0005,0.0050,0.0227
450,-0.00,1.00,-0.0001,0.0019,0.0227
500,-0.00,1.00,-0.0053,0.0056,0.0227
550,0.00,1.00,0.0050,0.0062,0.0227
600,-0.00,1.00,-0.0001,0.0056,0.0227
650,-0.00,1.00,-0.0003,0.0054,0.0227
700,-0.00,1.00,0.0006,0.0057,0.0227
750,0.00,1.00,-0.0002,0.0043,0.0227
800,0.00,1.00,-0.0012,0.0056,0.0227
850,0.00,1.00,-0.0003,0.0058,0.0227
900,0.00,1.00,0.0003,0.0055,0.0227
950,0.00,1.00,0.0002,0.0047,0.0227
1000,0.00,1.00,0.0020,0.0060,0.0227
1050,0.00,1.00,0.0001,0.0046,0.0227
1100,0.00,1.00,-0.0002,0.0052,0.0227
1150,-0.00,1.00,-0.0017,0.0051,0.0227
1200,0.00,1.00,0.0015,0.0052,0.0227
1250,0.00,1.00,-0.0006,0.0057,0.0227
1300,-0.00,1.00,-0.0008,0.0050,0.0227
1350,-0.00,1.00,0.0010,0.0059,0.0227
1400,0.00,1.00,0.0004,0.0053,0.0227
1450,0.00,1.00,-0.0011,0.0035,0.0227
1500,0.00,1.00,-0.0025,0.0050,0.0227
1550,0.00,1.00,-0.0012,0.0041,0.0227
1600,-0.00,1.00,0.0032,0.0051,0.0227
1650,0.00,1.00,-0.0013,0.0058,0.0227
1700,0.00,1.00,-0.0010,0.0054,0.0227
1750,-0.00,1.00,-0.0002,0.0056,0.0227
1800,0.00,1.00,-0.0004,0.0056,0.0227
1850,-0.00,1.00,0.0004,0.0035,0.0227
1900,-0.00,1.00,0.0009,0.0059,0.0227
1950,-0.00,1.00,-0.0001,0.0056,0.0227
2000,0.00,1.00,-0.0000,0.0052,0.0227
2050,0.00,1.00,-0.0003,0.0048,0.0227
2100,-0.00,1.00,0.0008,0.0053,0.0227
2150,-0.00,1.00,-0.0007,0.0054,0.0227
2200,0.00,1.00,-0.0003,0.0041,0.0227
2250,-0.00,1.00,0.0005,0.0052,0.0227
2300,0.00,1.00,0.0001,0.0031,0.0227
2350,0.00,1.00,-0.0067,0.0049,0.0227
2400,0.00,1.00,-0.0007,0.0045,0.0227
2450,-0.00,1.00,-0.0002,0.0048,0.0227
2500,0.00,1.00,-0.0008,0.0056,0.0227
2550,-0.00,1.00,0.0003,0.0042,0.0227
2600,0.00,1.00,-0.0015,0.0050,0.0227
2650,0.00,1.00,0.0008,0.0039,0.0227
2700,0.00,1.00,-0.0010,0.0041,0.0227
2750,0.00,1.00,0.0015,0.0053,0.0227
2800,-0.00,1.00,-0.0004,0.0043,0.0227
2850,-0.00,1.00,-0.0011,0.0050,0.0227
2900,-0.00,1.00,-0.0017,0.0038,0.0227
2950,0.00,1.00,0.0034,0.0052,0.0227
3000,0.00,1.00,-0.0013,0.0043,0.0227
3050,0.00,1.00,-0.0022,0.0039,0.0227
3100,0.00,1.00,0.0007,0.0046,0.0227
3150,0.00,1.00,0.0006,0.0033,0.0227
3200,0.00,1.00,-0.0004,0.0045,0.0227
3250,0.00,1.00,-0.0010,0.0045,0.0227
3300,0.00,1.00,0.0015,0.0053,0.0227
3350,0.00,1.00,-0.0013,0.0027,0.0227
3400,-0.00,1.00,0.0044,0.0044,0.0227
3450,-0.00,1.00,-0.0012,0.0044,0.0227
3500,0.00,1.00,0.0002,0.0029,0.0227
3550,0.00,1.00,0.0003,0.0039,0.0227
3600,0.00,1.00,-0.0009,0.0058,0.0227
3650,0.00,1.00,-0.0004,0.0050,0.0227
3700,0.00,1.00,0.0005,0.0049,0.0227
3750,-0.00,1.00,-0.0010,0.0035,0.0227
3800,-0.00,1.00,0.0003,0.0031,0.0227
3850,-0.00,1.00,0.0008,0.0036,0.0227
3900,-0.00,1.00,-0.0009,0.0034,0.0227
3950,-0.00,1.00,0.0003,0.0036,0.0227
4000,0.00,1.00,0.0016,0.0047,0.0227
4050,0.00,1.00,-0.0001,0.0031,0.0227
4100,0.00,1.00,-0.0027,0.0050,0.0227
4150,-0.00,1.00,0.0019,0.0044,0.0227
4200,0.00,1.00,-0.0019,0.0051,0.0227
4250,-0.00,1.00,-0.0000,0.0040,0.0227
4300,0.00,1.00,-0.0017,0.0030,0.0227
4350,0.00,1.00,-0.0011,0.0015,0.0227
4400,0.00,1.00,-0.0005,0.0026,0.0227
4450,-0.00,1.00,0.0059,0.0036,0.0227
4500,0.00,1.00,-0.0026,0.0033,0.0227
4550,-0.00,1.00,0.0045,0.0027,0.0227
4600,0.00,1.00,-0.0017,0.0041,0.0227
4650,0.00,1.00,0.0025,0.0025,0.0227
4700,-0.00,1.00,-0.0017,0.0030,0.0227
4750,0.00,1.00,0.0028,0.0046,0.0227
