episode,final_balance,cum_reward
1,-793.69,-1793.69
2,0.00,-1000.00
3,0.00,-1000.00
4,0.00,-1000.00
5,-500.00,-1500.00
6,1.79,-998.21
7,-241.04,-1241.04
8,-696.00,-1696.00
9,0.00,-1000.00
10,-706.60,-1706.60
11,0.00,-1000.00
12,0.00,-1000.00
13,0.00,-1000.00
14,-804.25,-1804.25
15,-100.00,-1100.00
16,2556.64,1556.64
17,-650.00,-1650.00
18,-884.29,-1884.29
19,-674.98,-1674.98
20,-854.66,-1854.66
21,-500.00,-1500.00
22,-300.00,-1300.00
23,0.00,-1000.00
24,0.00,-1000.00
25,4857.28,3857.28
26,-100.00,-1100.00
27,-735.40,-1735.40
28,2263.17,1263.17
29,-200.00,-1200.00
30,0.00,-1000.00
31,-791.60,-1791.60
32,-757.02,-1757.02
33,0.00,-1000.00
34,0.00,-1000.00
35,-400.00,-1400.00
36,0.00,-1000.00
37,-650.00,-1650.00
38,-400.00,-1400.00
39,0.00,-1000.00
40,6715.00,5715.00
41,4012.41,3012.41
42,-449.63,-1449.63
43,-887.03,-1887.03
44,-463.70,-1463.69
45,-250.07,-1250.07
46,-500.00,-1500.00
47,0.00,-1000.00
48,-200.00,-1200.00
49,-919.00,-1919.00
50,3064.51,2064.51
51,-496.00,-1496.00
52,-100.00,-1100.00
53,0.00,-1000.00
54,3061.72,2061.72
55,-100.00,-1100.00
56,-514.00,-1514.00
57,-500.00,-1500.00
58,-200.00,-1200.00
59,0.00,-1000.00
60,-200.00,-1200.00
61,-400.00,-1400.00
62,0.00,-1000.00
63,4850.08,3850.08
64,-400.00,-1400.00
65,-877.50,-1877.50
66,0.00,-1000.00
67,3632.43,2632.43
68,-441.60,-1441.60
69,0.00,-1000.00
70,-678.70,-1678.70
71,-100.00,-1100.00
72,-110.00,-1110.00
73,0.00,-1000.00
74,-600.00,-1600.00
75,-629.86,-1629.86
76,-300.00,-1300.00
77,0.00,-1000.00
78,-830.00,-1830.00
79,0.00,-1000.00
80,-368.80,-1368.80
81,-676.00,-1676.00
82,4139.91,3139.91
83,0.00,-1000.00
84,-100.00,-1100.00
85,2700.84,1700.84
86,0.00,-1000.00
87,4304.62,3304.62
88,-300.00,-1300.00
89,0.00,-1000.00
90,0.00,-1000.00
91,-200.00,-1200.00
92,5208.43,4208.43
93,-440.00,-1440.00
94,-400.00,-1400.00
95,14119.82,13119.82
96,-100.00,-1100.00
97,-502.02,-1502.02
98,1736.75,736.75
99,-480.72,-1480.72
100,0.00,-1000.00
101,-735.40,-1735.40
102,0.00,-1000.00
103,-460.00,-1460.00
104,0.00,-1000.00
105,0.00,-1000.00
106,-676.00,-1676.00
107,5313.40,4313.40
108,0.00,-1000.00
109,-564.96,-1564.96
110,0.00,-1000.00
111,0.00,-1000.00
112,-500.00,-1500.00
113,-100.00,-1100.00
114,-500.00,-1500.00
115,5052.80,4052.80
116,0.00,-1000.00
117,-889.00,-1889.00
118,-370.00,-1370.00
119,0.00,-1000.00
120,1152.80,152.80
121,-370.00,-1370.00
122,0.00,-1000.00
123,-640.00,-1640.00
124,0.00,-1000.00
125,-700.00,-1700.00
126,0.00,-1000.00
127,-73.00,-1073.00
128,0.00,-1000.00
129,-37.88,-1037.89
130,-504.87,-1504.87
131,-842.50,-1842.50
132,-550.00,-1550.00
133,4394.01,3394.01
134,-400.00,-1400.00
135,-319.33,-1319.33
136,-460.00,-1460.00
137,-43.89,-1043.89
138,0.00,-1000.00
139,0.00,-1000.00
140,0.00,-1000.00
141,8720.60,7720.60
142,883.83,-116.17
143,-280.00,-1280.00
144,-280.00,-1280.00
145,-729.71,-1729.71
146,-279.40,-1279.40
147,-640.00,-1640.00
148,-954.21,-1954.21
149,8560.00,7560.00
150,-176.09,-1176.09
151,0.00,-1000.00
152,0.00,-1000.00
153,0.00,-1000.00
154,-506.00,-1506.00
155,-500.00,-1500.00
156,-280.96,-1280.96
157,0.00,-1000.00
158,0.00,-1000.00
159,8547.32,7547.32
160,5994.37,4994.37
161,-280.00,-1280.00
162,-941.12,-1941.12
163,0.00,-1000.00
164,-678.70,-1678.70
165,0.00,-1000.00
166,-314.87,-1314.87
167,-640.00,-1640.00
168,-460.00,-1460.00
169,0.00,-1000.00
170,0.00,-1000.00
171,3780.80,2780.80
172,0.00,-1000.00
173,-155.36,-1155.36
174,11269.20,10269.20
175,-930.88,-1930.88
176,-880.64,-1880.64
177,6754.04,5754.04
178,-322.32,-1322.32
179,0.00,-1000.00
180,-813.88,-1813.88
181,-363.20,-1363.20
182,0.00,-1000.00
183,185.44,-814.56
184,0.00,-1000.00
185,-100.00,-1100.00
186,-514.00,-1514.00
187,-323.14,-1323.14
188,-460.00,-1460.00
189,-600.00,-1600.00
190,0.00,-1000.00
191,4507.96,3507.96
192,-472.70,-1472.70
193,0.00,-1000.00
194,-712.00,-1712.00
195,-300.00,-1300.00
196,-100.00,-1100.00
197,0.00,-1000.00
198,-400.00,-1400.00
199,5123.87,4123.87
200,6431.05,5431.05
201,-680.00,-1680.00
202,-891.93,-1891.93
203,-750.00,-1750.00
204,15800.00,14800.00
205,0.00,-1000.00
206,-190.00,-1190.00
207,-96.16,-1096.16
208,-858.56,-1858.56
209,-929.60,-1929.60
210,-664.00,-1664.00
211,-215.68,-1215.68
212,-280.00,-1280.00
213,-510.00,-1510.00
214,-666.90,-1666.90
215,-500.00,-1500.00
216,9200.10,8200.10
217,-315.68,-1315.68
218,0.00,-1000.00
219,-712.00,-1712.00
220,0.00,-1000.00
221,-36.00,-1036.00
222,-200.00,-1200.00
223,-467.78,-1467.78
224,-790.00,-1790.00
225,0.00,-1000.00
226,0.00,-1000.00
227,-438.58,-1438.58
228,0.00,-1000.00
229,8840.00,7840.00
230,0.00,-1000.00
231,-889.36,-1889.36
232,-190.00,-1190.00
233,-552.00,-1552.00
234,-100.00,-1100.00
235,0.00,-1000.00
236,9190.00,8190.00
237,-750.00,-1750.00
238,11164.47,10164.47
239,-440.00,-1440.00
240,0.00,-1000.00
241,-300.00,-1300.00
242,-760.00,-1760.00
243,-280.00,-1280.00
244,2210.52,1210.52
245,-747.33,-1747.33
246,0.00,-1000.00
247,0.00,-1000.00
248,-930.00,-1930.00
249,0.00,-1000.00
250,5216.58,4216.58
251,-400.00,-1400.00
252,0.00,-1000.00
253,-300.00,-1300.00
254,-400.00,-1400.00
255,0.00,-1000.00
256,4079.54,3079.54
257,-84.00,-1084.00
258,0.00,-1000.00
259,-100.00,-1100.00
260,-300.00,-1300.00
261,-685.00,-1685.00
262,-520.00,-1520.00
263,0.00,-1000.00
264,-370.00,-1370.00
265,-664.00,-1664.00
266,0.00,-1000.00
267,3540.00,2540.00
268,-595.00,-1595.00
269,996.37,-3.63
270,2060.00,1060.00
271,0.00,-1000.00
272,0.00,-1000.00
273,10392.00,9392.00
274,-500.00,-1500.00
275,0.00,-1000.00
276,0.00,-1000.00
277,-496.00,-1496.00
278,7572.96,6572.96
279,6350.60,5350.60
280,401.20,-598.80
281,0.00,-1000.00
282,-300.00,-1300.00
283,0.00,-1000.00
284,-460.00,-1460.00
285,-514.00,-1514.00
286,-934.16,-1934.16
287,0.00,-1000.00
288,0.00,-1000.00
289,0.00,-1000.00
290,-616.00,-1616.00
291,11160.00,10160.00
292,12945.59,11945.59
293,0.00,-1000.00
294,-100.00,-1100.00
295,-510.00,-1510.00
296,-640.00,-1640.00
297,2620.20,1620.20
298,0.00,-1000.00
299,-100.00,-1100.00
300,-300.00,-1300.00
301,-650.58,-1650.58
302,-900.91,-1900.91
303,-190.00,-1190.00
304,-687.70,-1687.70
305,0.00,-1000.00
306,-440.00,-1440.00
307,-84.48,-1084.48
308,-100.00,-1100.00
309,15000.00,14000.00
310,-200.00,-1200.00
311,-676.00,-1676.00
312,-748.00,-1748.00
313,-496.00,-1496.00
314,-634.79,-1634.79
315,3991.35,2991.35
316,0.00,-1000.00
317,-424.00,-1424.00
318,-300.00,-1300.00
319,-808.00,-1808.00
320,0.00,-1000.00
321,3408.78,2408.78
322,0.00,-1000.00
323,-470.14,-1470.14
324,0.00,-1000.00
325,-875.20,-1875.20
326,-942.32,-1942.32
327,-556.44,-1556.44
328,-460.00,-1460.00
329,-905.92,-1905.92
330,585.07,-414.93
331,1241.28,241.28
332,-730.00,-1730.00
333,-380.42,-1380.42
334,-100.00,-1100.00
335,-370.00,-1370.00
336,-300.00,-1300.00
337,0.00,-1000.00
338,0.00,-1000.00
339,-200.00,-1200.00
340,-485.73,-1485.73
341,0.00,-1000.00
342,-369.82,-1369.82
343,-536.00,-1536.00
344,-923.46,-1923.45
345,-500.00,-1500.00
346,101.24,-898.76
347,-678.68,-1678.68
348,-817.19,-1817.19
349,-646.59,-1646.59
350,0.00,-1000.00
351,12670.20,11670.20
352,-717.76,-1717.76
353,0.00,-1000.00
354,-778.83,-1778.83
355,-370.00,-1370.00
356,-703.47,-1703.47
357,-987.56,-1987.56
358,0.00,-1000.00
359,-300.00,-1300.00
360,9842.80,8842.80
361,0.00,-1000.00
362,2970.00,1970.00
363,5228.41,4228.41
364,-900.00,-1900.00
365,-721.10,-1721.10
366,-500.00,-1500.00
367,-370.00,-1370.00
368,-730.00,-1730.00
369,0.00,-1000.00
370,-827.13,-1827.13
371,-775.00,-1775.00
372,0.00,-1000.00
373,-956.99,-1956.99
374,-310.05,-1310.05
375,-357.17,-1357.17
376,0.00,-1000.00
377,0.00,-1000.00
378,-100.00,-1100.00
379,-903.27,-1903.27
380,0.00,-1000.00
381,0.00,-1000.00
382,-730.00,-1730.00
383,0.00,-1000.00
384,0.00,-1000.00
385,-899.76,-1899.76
386,10099.99,9099.99
387,-100.00,-1100.00
388,-100.00,-1100.00
389,-832.00,-1832.00
390,608.78,-391.22
391,-101.22,-1101.22
392,-863.92,-1863.92
393,0.00,-1000.00
394,-460.00,-1460.00
395,0.00,-1000.00
396,-906.88,-1906.88
397,-949.60,-1949.60
398,19916.00,18916.00
399,-808.00,-1808.00
400,0.00,-1000.00
401,-912.50,-1912.50
402,0.00,-1000.00
403,9240.00,8240.00
404,-193.83,-1193.83
405,0.00,-1000.00
406,11650.00,10650.00
407,-660.86,-1660.86
408,0.00,-1000.00
409,-500.00,-1500.00
410,-782.27,-1782.27
411,-300.00,-1300.00
412,-496.00,-1496.00
413,-100.00,-1100.00
414,0.00,-1000.00
415,-401.60,-1401.60
416,0.00,-1000.00
417,-300.00,-1300.00
418,-280.00,-1280.00
419,-909.20,-1909.20
420,-300.00,-1300.00
421,-580.00,-1580.00
422,0.00,-1000.00
423,-568.00,-1568.00
424,0.00,-1000.00
425,-495.37,-1495.37
426,0.00,-1000.00
427,-400.00,-1400.00
428,-400.00,-1400.00
429,-879.98,-1879.98
430,-282.63,-1282.63
431,0.00,-1000.00
432,0.00,-1000.00
433,0.00,-1000.00
434,0.00,-1000.00
435,-300.00,-1300.00
436,0.00,-1000.00
437,-460.00,-1460.00
438,0.00,-1000.00
439,-368.20,-1368.20
440,-533.00,-1533.00
441,-836.70,-1836.70
