episode,reward,balance
1,-1004.00,-4.00
2,-1003.00,-3.00
3,-1002.00,-2.00
4,-1006.00,-6.00
5,-1006.00,-6.00
6,-1003.00,-3.00
7,-1002.00,-2.00
8,-1003.00,-3.00
9,-1008.00,-8.00
10,-1003.00,-3.00
11,-1011.00,-11.00
12,-1005.00,-5.00
13,-1003.00,-3.00
14,-1004.00,-4.00
15,-1004.00,-4.00
16,-1002.00,-2.00
17,-1003.00,-3.00
18,-1002.00,-2.00
19,-1005.00,-5.00
20,-1003.00,-3.00
21,-1005.00,-5.00
22,-1006.00,-6.00
23,-1002.00,-2.00
24,-1009.00,-9.00
25,-1005.00,-5.00
26,-1004.00,-4.00
27,-1003.00,-3.00
28,-1005.00,-5.00
29,-1004.00,-4.00
30,-1002.00,-2.00
31,-1003.00,-3.00
32,-1004.00,-4.00
33,-1004.00,-4.00
34,-1003.00,-3.00
35,-1003.00,-3.00
36,-1002.00,-2.00
37,-1003.00,-3.00
38,-1002.00,-2.00
39,-1002.00,-2.00
40,-1002.00,-2.00
41,-1002.00,-2.00
42,-1006.00,-6.00
43,-1002.00,-2.00
44,-1005.00,-5.00
45,-1003.00,-3.00
46,-1008.00,-8.00
47,-1003.00,-3.00
48,-1003.00,-3.00
49,-1006.00,-6.00
50,-1004.00,-4.00
51,-1003.00,-3.00
52,-1007.00,-7.00
53,-1007.00,-7.00
54,-1002.00,-2.00
55,-1003.00,-3.00
56,-1005.00,-5.00
57,-1002.00,-2.00
58,-1002.00,-2.00
59,-1003.00,-3.00
60,-1008.00,-8.00
61,-1004.00,-4.00
62,-1005.00,-5.00
63,-1002.00,-2.00
64,-1006.00,-6.00
65,-1006.00,-6.00
66,-1004.00,-4.00
67,-1004.00,-4.00
68,-1005.00,-5.00
69,-1008.00,-8.00
70,-1004.00,-4.00
71,-1004.00,-4.00
72,-1009.00,-9.00
73,-1002.00,-2.00
74,-1003.00,-3.00
75,-1002.00,-2.00
76,-1007.00,-7.00
77,-1004.00,-4.00
78,-1004.00,-4.00
79,-1002.00,-2.00
80,-1004.00,-4.00
81,-1005.00,-5.00
82,-1005.00,-5.00
83,-1003.00,-3.00
84,-574.00,426.00
85,-1002.00,-2.00
86,-1004.00,-4.00
87,-1006.00,-6.00
88,-1002.00,-2.00
89,-1006.00,-6.00
90,-1004.00,-4.00
91,-1006.00,-6.00
92,-1003.00,-3.00
93,-1007.00,-7.00
average,-999.52,0.48
