episode,final_balance,cum_reward
1,-300.00,-1300.00
2,0.00,-1000.00
3,0.00,-1000.00
4,-4.03,-1004.03
5,4298.37,3298.37
6,5632.22,4632.22
7,0.00,-1000.00
8,0.00,-1000.00
9,-715.48,-1715.48
10,5413.85,4413.85
11,-807.59,-1807.59
12,0.00,-1000.00
13,0.00,-1000.00
14,3400.02,2400.02
15,-530.58,-1530.58
16,-500.00,-1500.00
17,0.00,-1000.00
18,-460.00,-1460.00
19,-611.76,-1611.76
20,0.00,-1000.00
21,-200.00,-1200.00
22,3094.01,2094.01
23,-600.00,-1600.00
24,3571.35,2571.35
25,2411.60,1411.60
26,0.00,-1000.00
27,-699.47,-1699.47
28,0.00,-1000.00
29,-100.00,-1100.00
30,3203.74,2203.74
31,0.00,-1000.00
32,2137.56,1137.56
33,0.00,-1000.00
34,0.00,-1000.00
35,2364.67,1364.67
36,-477.64,-1477.64
37,555.51,-444.49
38,-300.00,-1300.00
39,-916.39,-1916.39
40,-100.00,-1100.00
41,-318.01,-1318.01
42,0.00,-1000.00
43,-325.09,-1325.09
44,-400.00,-1400.00
45,-100.00,-1100.00
46,-848.00,-1848.00
47,0.00,-1000.00
48,0.00,-1000.00
49,-400.00,-1400.00
50,0.00,-1000.00
51,0.00,-1000.00
52,0.00,-1000.00
53,0.00,-1000.00
54,0.00,-1000.00
55,-100.00,-1100.00
56,2400.27,1400.27
57,-586.82,-1586.82
58,0.00,-1000.00
59,5387.33,4387.33
60,-200.00,-1200.00
61,-685.76,-1685.76
62,-890.27,-1890.27
63,-896.58,-1896.58
64,0.00,-1000.00
65,-280.00,-1280.00
66,-266.80,-1266.80
67,2562.30,1562.30
68,-856.89,-1856.89
69,0.00,-1000.00
70,0.00,-1000.00
71,8607.15,7607.15
72,1467.28,467.28
73,-854.57,-1854.57
74,-200.00,-1200.00
75,-300.00,-1300.00
76,-852.96,-1852.96
77,-143.71,-1143.71
78,-448.44,-1448.44
79,-100.00,-1100.00
80,-521.20,-1521.20
81,-400.00,-1400.00
82,0.00,-1000.00
83,0.00,-1000.00
84,-400.00,-1400.00
85,8630.00,7630.00
86,-570.00,-1570.00
87,0.00,-1000.00
88,-486.99,-1486.99
89,-743.64,-1743.64
90,-400.00,-1400.00
91,2242.68,1242.68
92,0.00,-1000.00
93,0.00,-1000.00
94,0.00,-1000.00
95,7787.28,6787.28
96,-400.00,-1400.00
97,-500.00,-1500.00
98,0.00,-1000.00
99,-300.00,-1300.00
100,-190.00,-1190.00
101,2987.55,1987.55
102,0.00,-1000.00
103,0.00,-1000.00
104,0.00,-1000.00
105,-100.00,-1100.00
106,0.00,-1000.00
107,-190.00,-1190.00
108,9159.26,8159.26
109,-15.47,-1015.47
110,0.00,-1000.00
111,-300.00,-1300.00
112,0.00,-1000.00
113,0.00,-1000.00
114,6918.40,5918.40
115,-433.60,-1433.60
116,-782.04,-1782.04
117,0.00,-1000.00
118,-200.00,-1200.00
119,0.00,-1000.00
120,8240.00,7240.00
121,-100.00,-1100.00
122,-450.12,-1450.12
123,5024.06,4024.06
124,-500.00,-1500.00
125,-550.00,-1550.00
126,-752.34,-1752.34
127,-426.38,-1426.38
128,-180.00,-1180.00
129,-100.00,-1100.00
130,-834.87,-1834.87
131,2268.11,1268.11
132,-440.00,-1440.00
133,-902.00,-1902.00
134,-879.63,-1879.63
135,0.00,-1000.00
136,12260.00,11260.00
137,-580.00,-1580.00
138,-878.99,-1878.99
139,5023.82,4023.82
140,4892.91,3892.91
141,-700.00,-1700.00
142,0.00,-1000.00
143,-300.00,-1300.00
144,-424.00,-1424.00
145,0.00,-1000.00
146,-500.00,-1500.00
147,-564.61,-1564.61
148,-202.20,-1202.20
149,0.00,-1000.00
150,-100.00,-1100.00
151,0.00,-1000.00
152,0.00,-1000.00
153,-770.77,-1770.78
154,0.00,-1000.00
155,-979.75,-1979.75
156,0.00,-1000.00
157,-437.97,-1437.97
158,0.00,-1000.00
159,0.00,-1000.00
160,-664.00,-1664.00
161,-825.00,-1825.00
162,0.00,-1000.00
163,0.00,-1000.00
164,3488.14,2488.14
165,0.00,-1000.00
166,0.00,-1000.00
167,0.00,-1000.00
168,9180.20,8180.20
169,-642.66,-1642.66
170,-300.00,-1300.00
171,-700.00,-1700.00
172,0.00,-1000.00
173,0.00,-1000.00
174,0.00,-1000.00
175,4151.20,3151.20
176,7632.00,6632.00
177,-337.00,-1337.00
178,-568.00,-1568.00
179,0.00,-1000.00
180,0.00,-1000.00
181,-530.72,-1530.72
182,7117.60,6117.60
183,-723.70,-1723.70
184,-280.00,-1280.00
185,-480.00,-1480.00
186,-400.00,-1400.00
187,0.00,-1000.00
188,-710.76,-1710.76
189,-162.69,-1162.69
190,0.00,-1000.00
191,0.00,-1000.00
192,0.00,-1000.00
193,289.13,-710.87
194,0.00,-1000.00
195,-280.00,-1280.00
196,10392.93,9392.93
197,9850.00,8850.00
198,0.00,-1000.00
199,-915.33,-1915.33
200,0.00,-1000.00
201,0.00,-1000.00
202,-200.00,-1200.00
203,4187.05,3187.05
204,0.00,-1000.00
205,0.00,-1000.00
206,-90.42,-1090.42
207,-811.00,-1811.00
208,-200.00,-1200.00
209,0.00,-1000.00
210,-400.00,-1400.00
211,-440.00,-1440.00
212,0.00,-1000.00
213,0.00,-1000.00
214,0.00,-1000.00
215,-714.18,-1714.18
216,-360.00,-1360.00
217,0.00,-1000.00
218,-784.22,-1784.22
219,-403.76,-1403.76
220,-100.00,-1100.00
221,-510.00,-1510.00
222,-100.00,-1100.00
223,-449.31,-1449.31
224,-888.19,-1888.19
225,-100.00,-1100.00
226,0.00,-1000.00
227,-884.19,-1884.19
228,-507.06,-1507.06
229,-120.00,-1120.00
230,-443.62,-1443.62
231,0.00,-1000.00
232,0.00,-1000.00
233,-433.00,-1433.00
234,-89.60,-1089.60
235,11682.21,10682.21
236,-880.16,-1880.16
237,-855.41,-1855.41
238,-580.00,-1580.00
239,0.00,-1000.00
240,-510.00,-1510.00
241,-611.20,-1611.20
242,-460.00,-1460.00
243,1953.71,953.71
244,0.00,-1000.00
245,-580.00,-1580.00
246,2622.65,1622.65
247,-784.00,-1784.00
248,-596.00,-1596.00
249,-568.00,-1568.00
250,-200.00,-1200.00
251,-748.00,-1748.00
252,-720.36,-1720.36
253,-197.73,-1197.73
254,-781.60,-1781.60
255,-929.65,-1929.65
256,44.81,-955.19
257,0.00,-1000.00
258,-500.00,-1500.00
259,0.00,-1000.00
260,0.00,-1000.00
261,-500.00,-1500.00
262,4646.72,3646.72
263,-520.00,-1520.00
264,-200.00,-1200.00
265,0.00,-1000.00
266,0.00,-1000.00
267,0.00,-1000.00
268,0.00,-1000.00
269,-300.00,-1300.00
270,-841.60,-1841.60
271,-370.00,-1370.00
272,-440.00,-1440.00
273,0.00,-1000.00
274,-601.41,-1601.41
275,0.00,-1000.00
276,-580.00,-1580.00
277,-712.00,-1712.00
278,-100.00,-1100.00
279,-200.00,-1200.00
280,-518.43,-1518.43
281,0.00,-1000.00
282,-370.00,-1370.00
283,-147.84,-1147.84
284,5306.50,4306.50
285,0.00,-1000.00
286,-100.00,-1100.00
287,0.00,-1000.00
288,4144.03,3144.03
289,0.00,-1000.00
290,-100.00,-1100.00
291,-400.00,-1400.00
292,0.00,-1000.00
293,-200.00,-1200.00
294,0.00,-1000.00
295,-841.24,-1841.24
296,-831.96,-1831.96
297,0.00,-1000.00
298,0.00,-1000.00
299,2006.94,1006.94
300,-539.20,-1539.20
301,-500.00,-1500.00
302,4307.53,3307.53
303,0.00,-1000.00
304,0.00,-1000.00
305,-300.00,-1300.00
306,-413.18,-1413.18
307,-280.00,-1280.00
308,0.00,-1000.00
309,-200.00,-1200.00
310,-330.44,-1330.44
311,7893.87,6893.87
312,0.00,-1000.00
313,-149.70,-1149.70
314,-678.51,-1678.51
315,2390.00,1390.00
316,-442.07,-1442.07
317,6113.41,5113.41
318,-433.00,-1433.00
319,-300.00,-1300.00
320,0.00,-1000.00
321,-650.00,-1650.00
322,-881.16,-1881.16
323,0.00,-1000.00
324,1114.64,114.64
325,-688.96,-1688.96
326,-700.00,-1700.00
327,-300.31,-1300.31
328,0.00,-1000.00
329,8949.66,7949.66
330,0.00,-1000.00
331,-800.00,-1800.00
332,0.00,-1000.00
333,0.00,-1000.00
334,2444.45,1444.45
335,-230.64,-1230.64
336,-300.00,-1300.00
337,-510.00,-1510.00
338,-804.00,-1804.00
339,-510.00,-1510.00
340,0.00,-1000.00
341,0.00,-1000.00
342,0.00,-1000.00
343,-520.00,-1520.00
344,0.00,-1000.00
345,5828.93,4828.93
346,-200.00,-1200.00
347,-874.00,-1874.00
348,0.00,-1000.00
349,-510.00,-1510.00
350,7240.00,6240.00
351,-142.51,-1142.51
352,-400.00,-1400.00
353,0.00,-1000.00
354,-825.00,-1825.00
355,-832.00,-1832.00
356,-320.00,-1320.00
357,9860.00,8860.00
358,-753.10,-1753.10
359,0.00,-1000.00
360,0.00,-1000.00
361,18800.00,17800.00
362,-496.00,-1496.00
363,-370.00,-1370.00
364,0.00,-1000.00
365,-100.00,-1100.00
366,-370.00,-1370.00
367,0.00,-1000.00
368,-124.73,-1124.73
369,-300.00,-1300.00
370,-500.00,-1500.00
371,-804.00,-1804.00
372,3622.82,2622.82
373,0.00,-1000.00
374,-496.00,-1496.00
375,-460.00,-1460.00
376,-650.00,-1650.00
377,1929.93,929.93
378,0.00,-1000.00
379,0.00,-1000.00
380,-748.00,-1748.00
381,-360.00,-1360.00
382,8364.00,7364.00
383,0.00,-1000.00
384,-632.92,-1632.92
385,-862.87,-1862.87
386,0.00,-1000.00
387,4316.03,3316.03
388,-100.00,-1100.00
389,-904.31,-1904.31
390,-761.86,-1761.86
391,-352.00,-1352.00
392,0.00,-1000.00
393,-100.00,-1100.00
394,-464.69,-1464.69
395,0.00,-1000.00
396,-510.00,-1510.00
397,4978.68,3978.68
398,0.00,-1000.00
399,839.10,-160.90
400,-460.00,-1460.00
401,-370.00,-1370.00
402,0.00,-1000.00
403,-902.07,-1902.07
404,-970.61,-1970.61
405,0.00,-1000.00
406,0.00,-1000.00
407,0.00,-1000.00
408,-419.27,-1419.27
409,-23.75,-1023.75
410,-330.80,-1330.80
411,-433.00,-1433.00
412,-500.00,-1500.00
413,0.00,-1000.00
414,0.00,-1000.00
415,0.00,-1000.00
416,-400.00,-1400.00
417,-870.40,-1870.40
418,-352.00,-1352.00
419,1817.31,817.31
420,3917.36,2917.36
421,0.00,-1000.00
422,0.00,-1000.00
423,-200.00,-1200.00
424,0.00,-1000.00
425,0.00,-1000.00
426,-854.85,-1854.85
427,-818.56,-1818.56
428,0.00,-1000.00
429,112.90,-887.10
430,0.00,-1000.00
431,3779.10,2779.10
432,-239.94,-1239.94
433,6193.29,5193.29
434,10396.40,9396.40
435,9300.00,8300.00
436,0.00,-1000.00
437,-862.24,-1862.24
438,-100.00,-1100.00
439,-888.45,-1888.45
440,-704.97,-1704.97
441,7601.30,6601.30
442,0.00,-1000.00
443,-280.00,-1280.00
444,-520.00,-1520.00
445,0.00,-1000.00
446,-370.00,-1370.00
447,0.00,-1000.00
448,1935.10,935.10
449,0.00,-1000.00
450,-541.04,-1541.04
451,0.00,-1000.00
452,0.00,-1000.00
453,-748.00,-1748.00
454,-510.00,-1510.00
455,-280.00,-1280.00
456,-100.00,-1100.00
457,6794.59,5794.59
458,-280.00,-1280.00
459,0.00,-1000.00
460,-190.00,-1190.00
461,-640.00,-1640.00
462,0.00,-1000.00
463,0.00,-1000.00
464,0.00,-1000.00
465,0.00,-1000.00
466,14912.00,13912.00
467,0.00,-1000.00
468,-370.00,-1370.00
469,0.00,-1000.00
470,-32.50,-1032.50
471,-100.00,-1100.00
472,-490.20,-1490.20
473,0.00,-1000.00
474,-750.85,-1750.85
475,-841.24,-1841.24
476,-440.00,-1440.00
477,-460.00,-1460.00
478,0.00,-1000.00
479,-31.49,-1031.49
480,0.00,-1000.00
481,-280.00,-1280.00
482,3813.30,2813.30
483,10747.60,9747.60
484,-190.00,-1190.00
485,-433.00,-1433.00
486,-510.00,-1510.00
487,-811.00,-1811.00
488,-977.60,-1977.60
489,-432.00,-1432.00
490,0.00,-1000.00
491,0.00,-1000.00
492,0.00,-1000.00
493,8648.55,7648.55
494,-823.60,-1823.60
495,-687.26,-1687.26
496,-370.00,-1370.00
497,0.00,-1000.00
498,-200.00,-1200.00
499,-657.00,-1657.00
500,-400.00,-1400.00
501,-100.00,-1100.00
502,160.13,-839.87
503,-320.00,-1320.00
504,-546.40,-1546.40
505,4622.80,3622.80
506,0.00,-1000.00
507,-200.00,-1200.00
508,19000.00,18000.00
509,-100.00,-1100.00
510,-400.00,-1400.00
511,0.00,-1000.00
512,-100.00,-1100.00
513,-866.58,-1866.58
514,-858.39,-1858.39
515,0.00,-1000.00
516,2018.30,1018.30
517,8533.84,7533.84
518,0.00,-1000.00
519,-537.60,-1537.60
520,-100.00,-1100.00
521,0.00,-1000.00
522,-745.98,-1745.98
523,0.00,-1000.00
524,9930.00,8930.00
525,-848.99,-1848.99
526,-510.00,-1510.00
527,-300.00,-1300.00
528,-573.00,-1573.00
529,14869.68,13869.68
530,8516.21,7516.21
531,-370.00,-1370.00
532,0.00,-1000.00
533,-920.00,-1920.00
534,0.00,-1000.00
535,-252.72,-1252.72
536,-900.00,-1900.00
537,-920.80,-1920.80
538,-318.72,-1318.72
539,0.00,-1000.00
540,9288.24,8288.24
541,-606.34,-1606.34
542,-659.80,-1659.80
543,-89.08,-1089.08
544,0.00,-1000.00
545,0.00,-1000.00
546,10760.00,9760.00
547,-968.91,-1968.91
548,886.88,-113.12
549,-200.00,-1200.00
550,10964.81,9964.81
551,-642.79,-1642.79
552,6021.78,5021.78
553,-496.00,-1496.00
554,0.00,-1000.00
555,0.00,-1000.00
556,0.00,-1000.00
557,-668.28,-1668.28
558,-838.00,-1838.00
559,-280.00,-1280.00
560,-918.71,-1918.71
561,1747.17,747.17
562,-836.56,-1836.56
563,-263.45,-1263.45
564,7000.85,6000.85
565,0.00,-1000.00
566,-720.00,-1720.00
567,-141.60,-1141.60
568,-200.00,-1200.00
569,-100.00,-1100.00
570,0.00,-1000.00
571,3244.81,2244.81
572,11631.00,10631.00
573,0.00,-1000.00
574,-100.00,-1100.00
575,0.00,-1000.00
576,-510.00,-1510.00
577,0.00,-1000.00
578,0.00,-1000.00
579,335.51,-664.49
580,-655.71,-1655.71
581,-906.70,-1906.70
582,0.00,-1000.00
583,-657.00,-1657.00
584,-600.00,-1600.00
585,-300.00,-1300.00
586,-353.01,-1353.01
587,-400.00,-1400.00
588,-842.68,-1842.68
589,0.00,-1000.00
590,0.00,-1000.00
591,-310.15,-1310.15
592,24000.00,23000.00
593,-114.44,-1114.44
594,0.00,-1000.00
595,0.00,-1000.00
596,0.00,-1000.00
597,-370.00,-1370.00
598,-184.20,-1184.20
599,-280.00,-1280.00
600,17531.10,16531.10
601,-100.00,-1100.00
602,-424.00,-1424.00
603,-590.40,-1590.40
604,-100.00,-1100.00
605,-749.00,-1749.00
606,3013.35,2013.35
607,683.69,-316.31
608,-100.00,-1100.00
609,6447.57,5447.57
610,1319.55,319.55
611,6788.41,5788.41
612,-400.00,-1400.00
613,-190.00,-1190.00
614,4861.40,3861.40
615,11754.83,10754.83
616,-100.00,-1100.00
617,472.06,-527.94
618,-968.38,-1968.38
619,-794.90,-1794.90
620,13000.00,12000.00
621,4063.56,3063.56
622,7859.49,6859.49
623,0.00,-1000.00
624,3753.62,2753.62
625,-300.00,-1300.00
626,-965.98,-1965.98
627,0.00,-1000.00
628,-440.00,-1440.00
629,-352.00,-1352.00
630,0.00,-1000.00
631,-100.00,-1100.00
632,6988.54,5988.54
633,0.00,-1000.00
634,0.00,-1000.00
635,-611.20,-1611.20
636,13800.00,12800.00
637,-708.40,-1708.40
638,0.00,-1000.00
639,8729.29,7729.29
640,4160.00,3160.00
641,0.00,-1000.00
642,-848.15,-1848.15
643,36.88,-963.12
644,-361.00,-1361.00
645,-100.00,-1100.00
646,-300.00,-1300.00
647,-280.00,-1280.00
648,0.00,-1000.00
649,17982.48,16982.48
650,16699.04,15699.04
651,422.87,-577.13
652,-200.00,-1200.00
653,-741.95,-1741.95
654,0.00,-1000.00
655,0.00,-1000.00
656,-100.00,-1100.00
657,-520.00,-1520.00
658,-608.00,-1608.00
659,-716.26,-1716.26
660,-109.00,-1109.00
661,-920.26,-1920.26
662,-887.10,-1887.10
663,-100.00,-1100.00
664,-100.00,-1100.00
665,0.00,-1000.00
666,0.00,-1000.00
667,15767.00,14767.00
668,554.78,-445.22
669,-280.00,-1280.00
670,8543.04,7543.04
671,0.00,-1000.00
672,-520.00,-1520.00
673,-370.00,-1370.00
674,-190.00,-1190.00
675,0.00,-1000.00
676,-899.20,-1899.20
677,-352.00,-1352.00
678,0.00,-1000.00
679,-568.00,-1568.00
680,6545.19,5545.19
681,0.00,-1000.00
682,0.00,-1000.00
683,-500.00,-1500.00
684,-680.21,-1680.21
685,23000.00,22000.00
686,-191.65,-1191.65
687,-433.00,-1433.00
688,7893.25,6893.25
689,-132.76,-1132.76
690,-360.00,-1360.00
691,0.00,-1000.00
692,-539.20,-1539.20
693,-500.00,-1500.00
694,-100.00,-1100.00
695,0.00,-1000.00
696,-500.00,-1500.00
697,-445.32,-1445.32
698,-100.00,-1100.00
699,-611.20,-1611.20
700,15000.00,14000.00
701,-760.00,-1760.00
702,-200.00,-1200.00
703,5125.59,4125.59
704,-889.51,-1889.51
705,-399.08,-1399.08
706,0.00,-1000.00
707,-74.94,-1074.94
708,6197.77,5197.77
709,-100.00,-1100.00
710,-300.00,-1300.00
711,-100.00,-1100.00
712,-370.00,-1370.00
713,0.83,-999.17
714,21000.00,20000.00
715,5904.83,4904.83
716,3816.00,2816.00
717,-200.00,-1200.00
718,-5.28,-1005.28
719,-42.68,-1042.68
720,0.00,-1000.00
721,-300.00,-1300.00
722,-503.12,-1503.12
723,-562.60,-1562.60
724,0.00,-1000.00
725,-400.00,-1400.00
726,-300.00,-1300.00
727,0.00,-1000.00
728,0.00,-1000.00
729,-440.00,-1440.00
730,0.00,-1000.00
731,-984.00,-1984.00
732,269.74,-730.26
733,-650.00,-1650.00
734,0.00,-1000.00
735,-100.00,-1100.00
736,0.00,-1000.00
