episode,reward,balance
1,-1003.00,-3.00
2,-1009.00,-9.00
3,-1006.00,-6.00
4,-1008.00,-8.00
5,-1002.00,-2.00
6,-1002.00,-2.00
7,-1004.00,-4.00
8,-1003.00,-3.00
9,-1003.00,-3.00
10,-1008.00,-8.00
11,-1004.00,-4.00
12,-1004.00,-4.00
13,-1004.00,-4.00
14,-1004.00,-4.00
15,-1003.00,-3.00
16,-1008.00,-8.00
17,-1004.00,-4.00
18,-1002.00,-2.00
19,-1006.00,-6.00
20,-1005.00,-5.00
21,-1003.00,-3.00
22,-1004.00,-4.00
23,-1002.00,-2.00
24,-1004.00,-4.00
25,-1002.00,-2.00
26,-1008.00,-8.00
27,-1002.00,-2.00
28,-1007.00,-7.00
29,-1003.00,-3.00
30,-1005.00,-5.00
31,-1006.00,-6.00
32,-1003.00,-3.00
33,-1007.00,-7.00
34,-1003.00,-3.00
35,-1002.00,-2.00
36,-1006.00,-6.00
37,-1003.00,-3.00
38,-1002.00,-2.00
39,-1004.00,-4.00
40,-1003.00,-3.00
41,-1002.00,-2.00
42,-1003.00,-3.00
43,-1002.00,-2.00
44,-1002.00,-2.00
45,-1007.00,-7.00
46,-1006.00,-6.00
47,-1004.00,-4.00
48,-1003.00,-3.00
49,-1003.00,-3.00
50,-1002.00,-2.00
51,-1005.00,-5.00
52,-1003.00,-3.00
53,-1003.00,-3.00
54,-1002.00,-2.00
55,-1002.00,-2.00
56,-1005.00,-5.00
57,-1002.00,-2.00
58,-1004.00,-4.00
59,-1002.00,-2.00
60,-1002.00,-2.00
61,-1005.00,-5.00
62,-1002.00,-2.00
63,-1002.00,-2.00
64,-1002.00,-2.00
65,-1002.00,-2.00
66,-1007.00,-7.00
67,-1002.00,-2.00
68,-1002.00,-2.00
69,-1002.00,-2.00
70,-1002.00,-2.00
71,-1006.00,-6.00
72,-1003.00,-3.00
73,-1006.00,-6.00
74,-1005.00,-5.00
75,-1002.00,-2.00
76,-1005.00,-5.00
77,-1002.00,-2.00
78,-1002.00,-2.00
79,-1003.00,-3.00
80,-1003.00,-3.00
81,-1002.00,-2.00
82,-1005.00,-5.00
83,-1003.00,-3.00
84,-1003.00,-3.00
85,-1003.00,-3.00
86,-1003.00,-3.00
87,-1002.00,-2.00
88,-1003.00,-3.00
89,-1003.00,-3.00
90,-1005.00,-5.00
91,-1002.00,-2.00
92,-1002.00,-2.00
93,-1003.00,-3.00
average,-1003.65,-3.65
