episode,return_mean,return_std,policy_loss,value_loss,entropy
50,-0.00,1.00,-0.0006,0.0055,0.0335
100,0.00,1.00,-0.0003,0.0059,0.0332
150,0.00,1.00,-0.0009,0.0051,0.0329
200,0.00,1.00,-0.0027,0.0061,0.0324
250,-0.00,1.00,-0.0004,0.0057,0.0320
300,-0.00,1.00,-0.0007,0.0053,0.0315
350,0.00,1.00,-0.0021,0.0054,0.0312
400,-0.00,1.00,-0.0007,0.0042,0.0308
450,0.00,1.00,-0.0023,0.0058,0.0305
500,0.00,1.00,0.0001,0.0060,0.0300
550,0.00,1.00,-0.0010,0.0055,0.0297
600,0.00,1.00,-0.0005,0.0050,0.0294
650,0.00,1.00,-0.0005,0.0055,0.0295
700,0.00,1.00,-0.0009,0.0059,0.0296
750,-0.00,1.00,-0.0002,0.0055,0.0286
800,-0.00,1.00,-0.0003,0.0050,0.0287
850,0.00,1.00,-0.0006,0.0051,0.0286
900,-0.00,1.00,0.0003,0.0057,0.0286
950,-0.00,1.00,-0.0008,0.0059,0.0285
1000,0.00,1.00,-0.0006,0.0060,0.0280
1050,-0.00,1.00,-0.0007,0.0055,0.0278
1100,-0.00,1.00,-0.0008,0.0058,0.0280
1150,0.00,1.00,-0.0000,0.0057,0.0279
1200,0.00,1.00,-0.0012,0.0054,0.0269
1250,-0.00,1.00,-0.0021,0.0051,0.0262
1300,0.00,1.00,-0.0018,0.0048,0.0258
1350,0.00,1.00,-0.0009,0.0052,0.0249
1400,-0.00,1.00,-0.0001,0.0055,0.0248
1450,0.00,1.00,-0.0009,0.0054,0.0241
1500,0.00,1.00,0.0004,0.0043,0.0226
1550,-0.00,1.00,-0.0013,0.0048,0.0232
1600,0.00,1.00,0.0004,0.0046,0.0226
1650,-0.00,1.00,-0.0024,0.0054,0.0224
1700,0.00,1.00,-0.0003,0.0058,0.0228
1750,-0.00,1.00,0.0003,0.0053,0.0226
1800,0.00,1.00,0.0001,0.0056,0.0212
1850,-0.00,1.00,0.0004,0.0054,0.0203
1900,-0.00,1.00,-0.0004,0.0042,0.0205
1950,-0.00,1.00,0.0005,0.0042,0.0204
2000,-0.00,1.00,-0.0025,0.0039,0.0197
2050,-0.00,1.00,-0.0008,0.0050,0.0193
2100,-0.00,1.00,0.0006,0.0055,0.0185
2150,0.00,1.00,-0.0003,0.0052,0.0190
2200,0.00,1.00,-0.0001,0.0053,0.0179
2250,0.00,1.00,-0.0004,0.0050,0.0176
2300,0.00,1.00,-0.0008,0.0041,0.0166
2350,0.00,1.00,-0.0003,0.0053,0.0166
2400,-0.00,1.00,0.0012,0.0056,0.0168
2450,0.00,1.00,-0.0004,0.0056,0.0163
2500,0.00,1.00,0.0007,0.0053,0.0160
2550,-0.00,1.00,-0.0011,0.0037,0.0162
2600,0.00,1.00,0.0010,0.0049,0.0157
2650,-0.00,1.00,-0.0006,0.0052,0.0148
2700,0.00,1.00,0.0018,0.0047,0.0158
2750,-0.00,1.00,-0.0006,0.0059,0.0170
2800,-0.00,1.00,-0.0011,0.0056,0.0150
2850,0.00,1.00,0.0000,0.0054,0.0146
2900,-0.00,1.00,-0.0010,0.0054,0.0161
2950,0.00,1.00,-0.0001,0.0056,0.0147
3000,-0.00,1.00,-0.0006,0.0058,0.0146
3050,-0.00,1.00,-0.0001,0.0034,0.0146
3100,-0.00,1.00,-0.0009,0.0049,0.0140
3150,0.00,1.00,0.0002,0.0054,0.0148
3200,0.00,1.00,-0.0011,0.0056,0.0140
3250,0.00,1.00,0.0001,0.0048,0.0141
3300,-0.00,1.00,-0.0020,0.0050,0.0138
3350,-0.00,1.00,0.0001,0.0051,0.0142
3400,0.00,1.00,0.0012,0.0053,0.0137
3450,0.00,1.00,0.0001,0.0051,0.0143
3500,0.00,1.00,-0.0011,0.0052,0.0136
3550,-0.00,1.00,-0.0001,0.0045,0.0137
3600,0.00,1.00,-0.0018,0.0040,0.0142
3650,0.00,1.00,0.0001,0.0043,0.0145
3700,-0.00,1.00,0.0003,0.0059,0.0144
3750,-0.00,1.00,-0.0004,0.0052,0.0142
3800,-0.00,1.00,-0.0000,0.0056,0.0136
3850,0.00,1.00,-0.0004,0.0045,0.0142
3900,0.00,1.00,-0.0005,0.0056,0.0142
3950,0.00,1.00,-0.0002,0.0051,0.0152
4000,0.00,1.00,-0.0007,0.0043,0.0138
4050,-0.00,1.00,-0.0006,0.0053,0.0144
4100,0.00,1.00,-0.0004,0.0050,0.0140
4150,0.00,1.00,0.0004,0.0052,0.0142
4200,0.00,1.00,-0.0001,0.0041,0.0138
4250,0.00,1.00,0.0005,0.0047,0.0132
4300,-0.00,1.00,0.0002,0.0044,0.0134
4350,-0.00,1.00,-0.0012,0.0047,0.0129
4400,0.00,1.00,-0.0013,0.0053,0.0126
4450,0.00,1.00,0.0006,0.0047,0.0128
4500,-0.00,1.00,-0.0012,0.0048,0.0120
4550,0.00,1.00,-0.0015,0.0044,0.0111
4600,-0.00,1.00,0.0005,0.0051,0.0119
4650,0.00,1.00,-0.0009,0.0043,0.0117
4700,0.00,1.00,-0.0010,0.0046,0.0115
4750,0.00,1.00,0.0002,0.0047,0.0120
4800,-0.00,1.00,0.0000,0.0050,0.0123
4850,0.00,1.00,-0.0004,0.0043,0.0124
4900,0.00,1.00,-0.0012,0.0043,0.0119
4950,0.00,1.00,-0.0011,0.0047,0.0110
5000,-0.00,1.00,-0.0003,0.0046,0.0117
5050,-0.00,1.00,-0.0013,0.0048,0.0109
5100,0.00,1.00,-0.0008,0.0052,0.0106
5150,0.00,1.00,0.0002,0.0042,0.0106
5200,0.00,1.00,0.0009,0.0050,0.0110
5250,-0.00,1.00,-0.0016,0.0047,0.0105
5300,-0.00,1.00,-0.0006,0.0040,0.0104
5350,0.00,1.00,0.0025,0.0044,0.0106
5400,-0.00,1.00,-0.0008,0.0046,0.0111
5450,0.00,1.00,-0.0009,0.0046,0.0111
5500,-0.00,1.00,-0.0003,0.0048,0.0111
5550,0.00,1.00,0.0000,0.0042,0.0114
5600,0.00,1.00,-0.0013,0.0045,0.0110
5650,0.00,1.00,-0.0014,0.0046,0.0108
5700,0.00,1.00,0.0008,0.0047,0.0116
5750,0.00,1.00,-0.0021,0.0050,0.0106
5800,0.00,1.00,0.0002,0.0040,0.0102
5850,-0.00,1.00,-0.0031,0.0043,0.0100
5900,-0.00,1.00,0.0007,0.0044,0.0098
5950,0.00,1.00,-0.0001,0.0049,0.0097
6000,-0.00,1.00,0.0006,0.0050,0.0099
6050,-0.00,1.00,-0.0004,0.0047,0.0100
6100,-0.00,1.00,-0.0000,0.0040,0.0097
6150,0.00,1.00,0.0001,0.0037,0.0098
6200,0.00,1.00,-0.0015,0.0051,0.0103
6250,-0.00,1.00,-0.0000,0.0051,0.0099
6300,-0.00,1.00,-0.0002,0.0050,0.0102
6350,0.00,1.00,-0.0002,0.0047,0.0096
6400,0.00,1.00,-0.0002,0.0043,0.0097
6450,0.00,1.00,0.0019,0.0047,0.0097
6500,0.00,1.00,-0.0002,0.0053,0.0097
6550,-0.00,1.00,-0.0002,0.0044,0.0096
6600,-0.00,1.00,-0.0006,0.0048,0.0095
6650,-0.00,1.00,-0.0012,0.0041,0.0090
6700,0.00,1.00,-0.0011,0.0046,0.0089
6750,0.00,1.00,0.0001,0.0049,0.0094
6800,0.00,1.00,0.0007,0.0045,0.0093
6850,0.00,1.00,-0.0014,0.0049,0.0087
6900,-0.00,1.00,0.0013,0.0044,0.0088
6950,0.00,1.00,-0.0009,0.0041,0.0093
7000,-0.00,1.00,-0.0009,0.0039,0.0090
